"","parks_percent_change_from_baseline","residential_percent_change_from_baseline","transit_stations_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","retail_and_recreation_percent_change_from_baseline","workplaces_percent_change_from_baseline"
"West Sussex.1",2.69938650306748,0,0,0,0,0
"West Yorkshire",2,0,0,0,0,0
"West Yorkshire.1",0.245398773006135,0,0,0,0,0
"Wiltshire",25,4,3,0,0,0
"Wiltshire.1",3.06748466257669,0.49079754601227,0.368098159509202,0,0,0
"Windsor and Maidenhead",73,19,19,19,19,0
"Windsor and Maidenhead.1",9.02348578491965,2.34857849196539,2.34857849196539,2.34857849196539,2.34857849196539,0
"Wokingham",517,62,19,19,19,0
"Wokingham.1",63.9060568603214,7.66378244746601,2.34857849196539,2.34857849196539,2.34857849196539,0
"Worcestershire",25,0,0,0,0,0
"Worcestershire.1",3.06748466257669,0,0,0,0,0
"York",34,23,16,10,6,3
"York.1",4.17177914110429,2.82208588957055,1.96319018404908,1.22699386503067,0.736196319018405,0.368098159509202
