"","(Intercept)","days_since_lockdown","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Lancashire",-50.228472757255,0.308718219050322,-18.078422069935,-18.9384378229397,-19.24715604199,-18.823845342849,-20.2502426233054,-3.60794844761635
"Leicester",-50.9879958909479,0.333044077693524,-19.6217185028993,-20.2428581258839,-19.8486294763047,-19.4175344335861,-20.7634699863482,-2.41695592230647
"Leicestershire",-53.4793128151061,0.328818782693321,-19.9347654190828,-21.0370748562631,-21.00225727532,-20.3468769852534,-21.3776779800765,-4.17118121730669
"Lincolnshire",-47.5418825946501,0.292173877782734,-16.8977420488491,-17.4177997893865,-17.9827009398965,-17.5401450333184,-18.7286194125678,-3.7911594555506
"Luton",-49.3976947406836,0.346932403389968,-21.2638947460903,-21.7523286676423,-21.4628974346687,-21.2092027898301,-21.7506781963424,-2.98640092994337
"Medway",-50.4813335495992,0.308787153805604,-19.9427165700228,-20.7792435117158,-20.3607579382487,-20.0736385385832,-20.8159577200168,-3.19121284619441
"Merseyside",-53.5832799426896,0.293171404241515,-18.000180108944,-18.8708489542438,-18.8003839948489,-18.7038191206088,-19.0104378708622,-2.79016192909183
"Middlesbrough",-49.4930443480259,0.333165727261668,-16.3699833069759,-17.5608574697136,-17.8031141060661,-17.5838361515483,-18.1514966276036,-3.75016760607167
"Milton Keynes",-53.8441500074341,0.307489558412068,-22.3501142154279,-23.2736141472304,-23.3992855238243,-22.9108646580971,-23.1770068799589,-0.77584377492128
"Norfolk",-52.1430524579971,0.312683994971818,-15.6218546828325,-16.727943704512,-16.6769913358474,-16.0619480150845,-17.4499111282322,-2.93731600502818
"North East Lincolnshire",-45.889349580309,0.322634929646,-13.8215823229661,-14.7433203328037,-14.9750461715406,-14.6154285443953,-15.8821570495925,-3.17736507035401
"North Lincolnshire",-47.5670545936228,0.336957138802157,-14.5311808118081,-16.0930491402816,-16.1572790063565,-16.0724619169269,-16.7241602800643,-4.41304286119785
"North Somerset",-53.6560790992525,0.288901504399659,-18.8985854858549,-20.2636174403702,-20.3707007629517,-19.883295486801,-19.9032027627969,-2.79443182893367
"North Yorkshire",-55.9201134044307,0.295263776813592,-13.3370014057283,-13.981346759022,-14.5493378085629,-13.7808753362259,-15.2844961004555,-2.95473622318641
"Northamptonshire",-47.8716468648202,0.314176229674384,-20.4783473906168,-21.4226750494278,-21.3732149154658,-20.8074713109768,-22.1763712609654,-2.85249043699229
