,Estimate,Std. Error,t value,Pr(>|t|),2.50%,97.50%,region
dayThursday,-17.86272537,1.377378981,-12.96863508,1.26E-20,-20.60783773,-15.11761302,Slough
dayTuesday,-18.37454451,1.407701034,-13.05287419,9.03E-21,-21.18008862,-15.56900039,Slough
dayWednesday,-18.12484817,1.407523824,-12.87711643,1.81E-20,-20.9300391,-15.31965723,Slough
bank_holiday,-17.06563105,1.851613046,-9.216629297,7.32E-14,-20.75589053,-13.37537157,Slough
days_since_lockdown,0.295758209,0.015793768,18.72625996,1.36E-29,0.264281274,0.327235143,Slough
(Intercept),-49.96723951,1.117768194,-44.70268503,8.80E-55,-52.19494831,-47.73953071,Somerset
dayFriday,-16.0352126,1.34361533,-11.93437753,7.97E-19,-18.71303409,-13.35739111,Somerset
dayMonday,-16.27581626,1.344070041,-12.10935127,3.92E-19,-18.95454399,-13.59708853,Somerset
daySaturday,-4.947576558,1.311291009,-3.773057639,0.000325432,-7.56097577,-2.334177346,Somerset
dayThursday,-16.75939634,1.311981195,-12.77411323,2.72E-20,-19.37417109,-14.14462159,Somerset
dayTuesday,-16.8569709,1.340863561,-12.5717272,6.09E-20,-19.52930812,-14.18463367,Somerset
dayWednesday,-17.06848525,1.340694765,-12.73107474,3.23E-20,-19.74048606,-14.39648444,Somerset
bank_holiday,-21.65964309,1.763698685,-12.28080696,1.96E-19,-25.1746895,-18.14459668,Somerset
days_since_lockdown,0.302423442,0.015043882,20.10275287,1.76E-31,0.272441028,0.332405856,Somerset
(Intercept),-50.72712218,1.493872469,-33.95679566,1.83E-46,-53.70440571,-47.74983864,South Gloucestershire
dayFriday,-23.40063197,1.795712172,-13.03139352,9.83E-21,-26.97948117,-19.82178277,South Gloucestershire
dayMonday,-25.18913879,1.796319883,-14.02263541,2.10E-22,-28.76919916,-21.60907843,South Gloucestershire
daySaturday,-3.709386614,1.752511431,-2.116611936,0.03770186,-7.20213686,-0.216636369,South Gloucestershire
dayThursday,-24.62815984,1.75343385,-14.04567377,1.93E-22,-28.12274847,-21.13357122,South Gloucestershire
dayTuesday,-25.4428678,1.792034493,-14.19775562,1.08E-22,-29.01438739,-21.87134821,South Gloucestershire
dayWednesday,-25.27893573,1.791808901,-14.10805344,1.52E-22,-28.85000572,-21.70786574,South Gloucestershire
bank_holiday,-17.60884756,2.357144284,-7.470415655,1.39E-10,-22.30662934,-12.91106578,South Gloucestershire
days_since_lockdown,0.290613386,0.020105816,14.45419535,4.11E-23,0.250542553,0.330684218,South Gloucestershire
(Intercept),-52.4823745,1.189509611,-44.12101763,2.21E-54,-54.85306374,-50.11168527,South Yorkshire
dayFriday,-16.59804599,1.429852233,-11.60822468,3.02E-18,-19.44773738,-13.7483546,South Yorkshire
dayMonday,-17.5244827,1.430336129,-12.25200311,2.20E-19,-20.3751385,-14.67382691,South Yorkshire
daySaturday,-2.85785443,1.395453249,-2.047975761,0.044159969,-5.638988744,-0.076720116,South Yorkshire
dayThursday,-17.57356329,1.396187733,-12.58681972,5.74E-20,-20.35616143,-14.79096515,South Yorkshire
dayTuesday,-17.6882968,1.426923848,-12.39610426,1.23E-19,-20.53215192,-14.84444167,South Yorkshire
dayWednesday,-17.90619994,1.426744218,-12.5503925,6.63E-20,-20.74969707,-15.06270282,South Yorkshire
bank_holiday,-18.70597721,1.876897685,-9.966434162,2.94E-15,-22.4466289,-14.96532552,South Yorkshire
days_since_lockdown,0.308812237,0.016009439,19.28938474,2.24E-30,0.27690547,0.340719004,South Yorkshire
(Intercept),-52.28019064,0.961930528,-54.34923739,8.49E-61,-54.19731542,-50.36306586,Southampton
dayFriday,-18.38460367,1.156290375,-15.89964256,2.05E-25,-20.68908706,-16.08012027,Southampton
dayMonday,-19.75325199,1.156681691,-17.07751765,3.30E-27,-22.05851527,-17.4479887,Southampton
daySaturday,-2.404895005,1.128472665,-2.131106121,0.03644812,-4.653937783,-0.155852226,Southampton
dayThursday,-19.63135168,1.129066627,-17.38723934,1.15E-27,-21.88157822,-17.38112514,Southampton
dayTuesday,-19.91794857,1.153922254,-17.26108366,1.76E-27,-22.2177123,-17.61818483,Southampton
dayWednesday,-19.63426568,1.153776991,-17.01738363,4.06E-27,-21.93373991,-17.33479146,Southampton
bank_holiday,-16.55111804,1.517806301,-10.90463126,5.59E-17,-19.57610163,-13.52613444,Southampton
days_since_lockdown,0.261771662,0.012946485,20.21951583,1.23E-31,0.235969354,0.28757397,Southampton
(Intercept),-56.40349746,1.350376007,-41.76873489,1.04E-52,-59.09479296,-53.71220195,Southend-on-Sea
dayFriday,-18.16334301,1.623221984,-11.1896852,1.70E-17,-21.39841976,-14.92826626,Southend-on-Sea
dayMonday,-19.38829463,1.62377132,-11.94028641,7.78E-19,-22.62446621,-16.15212306,Southend-on-Sea
daySaturday,-3.091682792,1.584170964,-1.951609304,0.054821425,-6.24893097,0.065565386,Southend-on-Sea
dayThursday,-19.52504838,1.585004778,-12.31860537,1.68E-19,-22.68395834,-16.36613841,Southend-on-Sea
dayTuesday,-19.41403934,1.619897571,-11.98473267,6.49E-19,-22.64249054,-16.18558814,Southend-on-Sea
dayWednesday,-19.73902321,1.619693648,-12.18688685,2.86E-19,-22.967068,-16.51097843,Southend-on-Sea
bank_holiday,-17.12013545,2.130724779,-8.034888233,1.21E-11,-21.36666382,-12.87360709,Southend-on-Sea
days_since_lockdown,0.324983874,0.018174517,17.88129336,2.18E-28,0.288762114,0.361205635,Southend-on-Sea
(Intercept),-55.10616764,1.328302967,-41.48614361,1.67E-52,-57.75347164,-52.45886365,Staffordshire
dayFriday,-16.45910762,1.596689045,-10.30827366,6.88E-16,-19.64130429,-13.27691094,Staffordshire
dayMonday,-17.16356953,1.597229401,-10.74583871,1.09E-16,-20.34684314,-13.98029593,Staffordshire
daySaturday,-3.90406825,1.558276347,-2.505376057,0.014462714,-7.00970853,-0.798427969,Staffordshire
dayThursday,-17.21220475,1.559096532,-11.03985828,3.18E-17,-20.31947966,-14.10492984,Staffordshire
dayTuesday,-18.00382965,1.593418972,-11.29886738,1.08E-17,-21.17950908,-14.82815022,Staffordshire
dayWednesday,-17.89521594,1.593218383,-11.23211742,1.43E-17,-21.0704956,-14.71993629,Staffordshire
bank_holiday,-19.5941733,2.095896277,-9.348827762,4.14E-14,-23.77128855,-15.41705804,Staffordshire
days_since_lockdown,0.34593175,0.017877439,19.35018454,1.85E-30,0.310302065,0.381561436,Staffordshire
(Intercept),-51.43536464,1.218695037,-42.20527948,5.01E-53,-53.86422035,-49.00650894,Stockton-on-Tees
dayFriday,-16.49621561,1.464934629,-11.26071791,1.27E-17,-19.41582612,-13.57660511,Stockton-on-Tees
dayMonday,-17.05680422,1.465430397,-11.63945026,2.66E-18,-19.97740279,-14.13620565,Stockton-on-Tees
daySaturday,-1.674248242,1.429691642,-1.171055487,0.24538487,-4.523619575,1.175123092,Stockton-on-Tees
dayThursday,-17.27274472,1.430444148,-12.07509203,4.50E-19,-20.1236158,-14.42187365,Stockton-on-Tees
dayTuesday,-17.68561479,1.461934394,-12.0974066,4.11E-19,-20.59924583,-14.77198374,Stockton-on-Tees
dayWednesday,-17.82954836,1.461750357,-12.19739628,2.74E-19,-20.74281262,-14.9162841,Stockton-on-Tees
bank_holiday,-20.11368523,1.922948645,-10.45981404,3.62E-16,-23.94611635,-16.28125411,Stockton-on-Tees
days_since_lockdown,0.325751758,0.016402242,19.86019716,3.73E-31,0.293062137,0.358441379,Stockton-on-Tees
(Intercept),-50.72934392,1.02852609,-49.32236955,8.42E-58,-52.77919346,-48.67949438,Stoke-on-Trent
dayFriday,-16.15039904,1.236341694,-13.06305459,8.68E-21,-18.61442449,-13.6863736,Stoke-on-Trent
dayMonday,-16.52340383,1.236760101,-13.36023357,2.71E-21,-18.98826315,-14.0585445,Stoke-on-Trent
daySaturday,-4.014553962,1.206598132,-3.327167394,0.001376206,-6.419300571,-1.609807353,Stoke-on-Trent
dayThursday,-16.71032855,1.207233214,-13.84183963,4.20E-22,-19.11634088,-14.30431623,Stoke-on-Trent
dayTuesday,-16.84001276,1.233809625,-13.64879348,8.84E-22,-19.2989918,-14.38103372,Stoke-on-Trent
dayWednesday,-16.97697395,1.233654305,-13.76153261,5.72E-22,-19.43564344,-14.51830447,Stoke-on-Trent
bank_holiday,-17.77225328,1.622885785,-10.95101913,4.60E-17,-21.00665998,-14.53784657,Stoke-on-Trent
days_since_lockdown,0.318779372,0.013842785,23.02855707,3.29E-35,0.29119074,0.346368003,Stoke-on-Trent
(Intercept),-52.04658496,1.207155015,-43.11507992,1.12E-53,-54.45244144,-49.64072849,Suffolk
dayFriday,-16.87683652,1.451062925,-11.63067172,2.76E-18,-19.76880076,-13.98487228,Suffolk
dayMonday,-17.15932058,1.451553998,-11.82134499,1.26E-18,-20.05226352,-14.26637763,Suffolk
daySaturday,-2.76694976,1.416153659,-1.95384854,0.054550791,-5.589339932,0.055440412,Suffolk
dayThursday,-17.80084928,1.416899039,-12.56324465,6.30E-20,-20.62472499,-14.97697357,Suffolk
dayTuesday,-17.79057616,1.448091099,-12.28553657,1.92E-19,-20.67661755,-14.90453476,Suffolk
dayWednesday,-18.01605064,1.447908805,-12.44280757,1.02E-19,-20.90172872,-15.13037255,Suffolk
bank_holiday,-20.44237798,1.904739931,-10.73237225,1.15E-16,-24.23851919,-16.64623678,Suffolk
days_since_lockdown,0.316383573,0.016246926,19.47344164,1.25E-30,0.284003496,0.348763651,Suffolk
(Intercept),-57.25436158,1.516503258,-37.75419623,1.20E-49,-60.27674822,-54.23197495,Surrey
dayFriday,-22.87031847,1.822915553,-12.54601094,6.75E-20,-26.50338393,-19.23725301,Surrey
dayMonday,-24.89372613,1.82353247,-13.65137531,8.75E-22,-28.5280211,-21.25943116,Surrey
daySaturday,-0.853308556,1.779060361,-0.479640025,0.632917305,-4.398970743,2.69235363,Surrey
dayThursday,-24.55992567,1.779996754,-13.79773621,4.98E-22,-28.10745408,-21.01239725,Surrey
dayTuesday,-25.09814465,1.819182161,-13.79638894,5.01E-22,-28.72376947,-21.47251983,Surrey
dayWednesday,-25.32059367,1.818953151,-13.92042102,3.11E-22,-28.94576207,-21.69542527,Surrey
bank_holiday,-14.01779187,2.392852843,-5.858192205,1.25E-07,-18.78674071,-9.248843034,Surrey
days_since_lockdown,0.31335811,0.0204104,15.35286466,1.47E-24,0.272680242,0.354035979,Surrey
(Intercept),-52.14537068,1.610133566,-32.38574227,4.70E-45,-55.35436225,-48.93637911,Swindon
dayFriday,-21.94558902,1.935464039,-11.33867051,9.19E-18,-25.80296328,-18.08821475,Swindon
dayMonday,-23.17597726,1.936119045,-11.97032658,6.88E-19,-27.03465695,-19.31729757,Swindon
daySaturday,-2.839870586,1.888901187,-1.50345111,0.137036873,-6.604445223,0.924704051,Swindon
dayThursday,-22.76961176,1.889895393,-12.04808046,5.02E-19,-26.53616785,-19.00305567,Swindon
dayTuesday,-23.381018,1.931500144,-12.10510808,3.98E-19,-27.23049224,-19.53154377,Swindon
dayWednesday,-23.61690499,1.931256994,-12.22877383,2.42E-19,-27.46589463,-19.76791535,Swindon
bank_holiday,-17.90491292,2.540589782,-7.047541892,8.50E-10,-22.96830106,-12.84152479,Swindon
days_since_lockdown,0.326796081,0.021670557,15.08018832,4.00E-24,0.283606723,0.369985439,Swindon
(Intercept),-50.17420473,1.236042894,-40.59260805,7.68E-52,-52.63763466,-47.71077479,Thurrock
dayFriday,-20.0676621,1.485787653,-13.50641329,1.53E-21,-23.02883262,-17.10649158,Thurrock
dayMonday,-21.18768493,1.486290478,-14.25541322,8.69E-23,-24.14985758,-18.22551228,Thurrock
daySaturday,-2.487770167,1.450042989,-1.715652698,0.090467292,-5.377701677,0.402161343,Thurrock
dayThursday,-20.9633105,1.450806207,-14.44942157,4.18E-23,-23.8547631,-18.0718579,Thurrock
dayTuesday,-22.01195828,1.48274471,-14.84541347,9.52E-24,-24.96706423,-19.05685234,Thurrock
dayWednesday,-22.17570327,1.482558053,-14.95773014,6.28E-24,-25.1304372,-19.22096933,Thurrock
bank_holiday,-19.4472694,1.950321398,-9.971315204,2.88E-15,-23.33425434,-15.56028446,Thurrock
days_since_lockdown,0.345563166,0.016635724,20.77235479,2.29E-32,0.312408216,0.378718117,Thurrock
(Intercept),-55.93759407,0.88202647,-63.41940516,1.37E-65,-57.69547029,-54.17971785,Torbay
