"","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %","region"
"dayWednesday2",-7.98367346938775,0.873042046902752,-9.1446608988777,1.3919199425127e-08,-9.80480726715306,-6.16253967162244,"Blackburn with Darwen"
"days_since_lockdown2",0.161224489795918,0.0296586157136082,5.43600859031137,2.54420421472949e-05,0.0993577015208261,0.22309127807101,"Blackburn with Darwen"
"(Intercept)3",-34.0306122448979,0.920548430417813,-36.9677586973369,6.91202768538685e-20,-35.9508426221875,-32.1103818676084,"Blackpool"
"dayFriday3",-0.301020408163268,1.09308435298877,-0.27538625664177,0.785844569583212,-2.58115441327609,1.97911359694956,"Blackpool"
"dayMonday3",-0.724489795918367,1.09117947029877,-0.663951087459514,0.51430361397868,-3.00065028536854,1.5516706935318,"Blackpool"
"daySaturday3",0.224489795918367,1.09117947029877,0.205731322874778,0.839080453158079,-2.0516706935318,2.50065028536854,"Blackpool"
"dayThursday3",-0.0765306122448681,1.09625180197243,-0.0698111620953969,0.945037275117886,-2.36327180015869,2.21021057566895,"Blackpool"
"dayTuesday3",0.801020408163267,1.09308435298877,0.732807496487418,0.472177925040747,-1.47911359694956,3.08115441327609,"Blackpool"
"dayWednesday3",1.0765306122449,1.09625180197243,0.982010346808969,0.337825766316646,-1.21021057566892,3.36327180015872,"Blackpool"
"days_since_lockdown3",0.224489795918367,0.037241403246724,6.02796286786305,6.81282473456646e-06,0.146805590020812,0.302174001815921,"Blackpool"
"(Intercept)4",-19.5683673469388,1.04143279062682,-18.7898513692477,3.54309101336329e-14,-21.7407580809704,-17.3959766129071,"Borough of Halton"
"dayFriday4",-15.480612244898,1.23662574451071,-12.5184295358682,6.41587105050529e-11,-18.0601683458952,-12.9010561439007,"Borough of Halton"
"dayMonday4",-15.134693877551,1.23447071688794,-12.2600671449746,9.29931163542998e-11,-17.7097546696993,-12.5596330854027,"Borough of Halton"
"daySaturday4",-3.36530612244898,1.23447071688794,-2.7261125569125,0.0130116929538989,-5.9403669145973,-0.790245330300655,"Borough of Halton"
"dayThursday4",-14.3459183673469,1.24020913580793,-11.567338082864,2.59408604040206e-10,-16.9329492916075,-11.7588874430864,"Borough of Halton"
"dayTuesday4",-15.019387755102,1.23662574451071,-12.1454593855675,1.09850888916693e-10,-17.5989438560993,-12.4398316541048,"Borough of Halton"
"dayWednesday4",-13.4040816326531,1.24020913580793,-10.8079204108757,8.43489944323298e-10,-15.9911125569136,-10.8170507083925,"Borough of Halton"
"days_since_lockdown4",0.13469387755102,0.0421318609956144,3.1969600764856,0.00452751596815373,0.0468083555488819,0.222579399553158,"Borough of Halton"
"(Intercept)5",-35.7887755102041,1.22241184230326,-29.2771832468271,6.76225861327706e-18,-38.3386819307536,-33.2388690896545,"Bracknell Forest"
"dayFriday5",-10.4479591836735,1.45152521429361,-7.19791780451985,5.72788678200479e-07,-13.4757877234747,-7.42013064387225,"Bracknell Forest"
"dayMonday5",-12.6510204081633,1.44899568832681,-8.73088892539891,2.94314363572568e-08,-15.6735724492588,-9.62846836706772,"Bracknell Forest"
"daySaturday5",7.65102040816327,1.44899568832681,5.28022303296024,3.62140339194483e-05,4.62846836706771,10.6735724492588,"Bracknell Forest"
