"","acf","lag","interval"
"154",-0.103452048688295,-28,"80"
"155",-0.116827986366562,-27,"80"
"156",-0.13060832820581,-26,"80"
"157",-0.145618952569702,-25,"80"
"158",-0.172564559589379,-24,"80"
"159",-0.204553539502869,-23,"80"
"160",-0.241350945344916,-22,"80"
"161",-0.277011116496283,-21,"80"
"162",-0.311544501643171,-20,"80"
"163",-0.345040541288707,-19,"80"
"164",-0.376802662744174,-18,"80"
"165",-0.396222455827976,-17,"80"
"166",-0.416044775558537,-16,"80"
"167",-0.437048232344398,-15,"80"
"168",-0.457819311054481,-14,"80"
"169",-0.478468549480232,-13,"80"
"170",-0.499089913472597,-12,"80"
"171",-0.519820850951657,-11,"80"
"172",-0.541511358580344,-10,"80"
"173",-0.565741066115832,-9,"80"
"174",-0.591822155685087,-8,"80"
"175",-0.626161486979687,-7,"80"
"176",-0.659912499194869,-6,"80"
"177",-0.693172686840639,-5,"80"
"178",-0.726733123063517,-4,"80"
"179",-0.759911237235084,-3,"80"
"180",-0.793404324069744,-2,"80"
"181",-0.8264855365248,-1,"80"
"182",-0.852044013659348,0,"80"
"183",-0.787125203460552,1,"80"
"184",-0.722410719348494,2,"80"
"185",-0.658995714158427,3,"80"
"186",-0.597512841840185,4,"80"
"187",-0.538181081562883,5,"80"
"188",-0.481185626070359,6,"80"
"189",-0.426237375315252,7,"80"
"190",-0.373416713885659,8,"80"
"191",-0.323684157245916,9,"80"
"192",-0.277074300542873,10,"80"
"193",-0.232826502568962,11,"80"
"194",-0.191025456714271,12,"80"
"195",-0.151308680773759,13,"80"
"196",-0.113733213611488,14,"80"
"197",-0.0787811097750331,15,"80"
"198",-0.0468835641558253,16,"80"
"199",-0.019841024968167,17,"80"
"200",0.00442146922960998,18,"80"
"201",0.0259189369579438,19,"80"
"202",0.0446457339138886,20,"80"
"203",0.0602163357111757,21,"80"
"204",0.0726860099571259,22,"80"
"205",0.0826976601838526,23,"80"
"206",0.0926230279808215,24,"80"
"207",0.100611033873889,25,"80"
"208",0.106585280931655,26,"80"
"209",0.110847333588056,27,"80"
"210",0.114662659504434,28,"80"
"211",0.118865229021907,29,"80"
"212",0.121652466671576,30,"80"
"213",0.123637948510205,31,"80"
"214",0.125541963997285,32,"80"
"215",0.127966702168747,33,"80"
"216",0.130695559279342,34,"80"
"217",0.134363099497714,35,"80"
"218",0.138756500528788,36,"80"
"219",0.141346732057711,37,"80"
"220",0.141234915752689,38,"80"
"221",0.141925722484566,39,"80"
"222",0.144020451019312,40,"80"
"223",0.147673441924423,41,"80"
"224",0.152517518643053,42,"80"
"225",0.158621860689565,43,"80"
"226",0.167782758273739,44,"80"
"227",0.18049376366811,45,"80"
"228",0.194586373698856,46,"80"
"229",0.209490756659687,47,"80"
"230",0.224988837538112,48,"80"
"231",0.240384814023178,49,"80"
"232",0.248838317500863,50,"80"
"233",0.253710141728362,51,"80"
"234",0.254699504057982,52,"80"
"235",0.255048994925012,53,"80"
"236",0.254691996902585,54,"80"
"237",0.253495992734362,55,"80"
"238",0.251865723925448,56,"80"
"239",0.256369687663144,57,"80"
"240",0.25976625947624,58,"80"
"241",0.261460963224735,59,"80"
"242",0.262160992741115,60,"80"
"243",0.261704072711333,61,"80"
"244",0.259917884867225,62,"80"
"245",0.256569666969777,63,"80"
"246",0.250981506730315,64,"80"
"247",0.241987840605296,65,"80"
"248",0.229757465850081,66,"80"
"249",0.210145322866677,67,"80"
"250",0.18804917629843,68,"80"
"251",0.163358415648267,69,"80"
"252",0.135549326525323,70,"80"
"253",0.104968025920974,71,"80"
"254",0.0712261370629066,72,"80"
"255",0.0347533961216814,73,"80"
"256",0.0151838052836289,-93,"100"
"257",0.0301389999212248,-92,"100"
"258",0.0441889925544632,-91,"100"
"259",0.0576662708343799,-90,"100"
"260",0.0705609430591298,-89,"100"
"261",0.0828681202051578,-88,"100"
"262",0.0942657827785899,-87,"100"
"263",0.105093330702933,-86,"100"
"264",0.11470419414516,-85,"100"
"265",0.124433874815845,-84,"100"
"266",0.134258229767498,-83,"100"
"267",0.143822324351109,-82,"100"
"268",0.152787033370037,-81,"100"
"269",0.161795416661385,-80,"100"
"270",0.169204948958784,-79,"100"
"271",0.176688554611228,-78,"100"
"272",0.184234485183963,-77,"100"
"273",0.191504543407351,-76,"100"
"274",0.198506270782485,-75,"100"
"275",0.205241086944693,-74,"100"
"276",0.211712839629219,-73,"100"
"277",0.217923631909225,-72,"100"
"278",0.223250160170779,-71,"100"
"279",0.227402051367728,-70,"100"
"280",0.230435401256333,-69,"100"
"281",0.232428706917423,-68,"100"
"282",0.23378034445405,-67,"100"
"283",0.234568320526424,-66,"100"
"284",0.234215906386041,-65,"100"
"285",0.232818150082012,-64,"100"
"286",0.231099641347149,-63,"100"
"287",0.229125990540088,-62,"100"
"288",0.227262244778529,-61,"100"
"289",0.225540567619933,-60,"100"
"290",0.223669003529981,-59,"100"
"291",0.22136889651755,-58,"100"
"292",0.217384330140037,-57,"100"
"293",0.213421000667174,-56,"100"
"294",0.209512176019383,-55,"100"
"295",0.205685801649035,-54,"100"
"296",0.20164380912026,-53,"100"
"297",0.197412205330761,-52,"100"
"298",0.193346745984117,-51,"100"
"299",0.191085258989795,-50,"100"
"300",0.188952577940372,-49,"100"
"301",0.186620713547783,-48,"100"
"302",0.184097682712804,-47,"100"
"303",0.182028235384145,-46,"100"
"304",0.180696870125447,-45,"100"
"305",0.178442423643898,-44,"100"
"306",0.175592742127777,-43,"100"
"307",0.172478706433197,-42,"100"
"308",0.169418725793845,-41,"100"
"309",0.166070395741578,-40,"100"
"310",0.162735183796586,-39,"100"
"311",0.159073874960315,-38,"100"
"312",0.153124422842985,-37,"100"
"313",0.144292175509702,-36,"100"
"314",0.135251561805329,-35,"100"
"315",0.126311932378211,-34,"100"
"316",0.117439694674987,-33,"100"
"317",0.108277323786639,-32,"100"
"318",0.0987911674393179,-31,"100"
"319",0.0902429314432125,-30,"100"
"320",0.0828692888602327,-29,"100"
"321",0.0749555854213576,-28,"100"
"322",0.0661625873188283,-27,"100"
"323",0.0564829003798779,-26,"100"
"324",0.045593903229287,-25,"100"
"325",0.0286467082569943,-24,"100"
"326",0.00876271731664701,-23,"100"
"327",-0.0139391909676944,-22,"100"
"328",-0.0367505070440498,-21,"100"
"329",-0.0596488941102996,-20,"100"
"330",-0.082641484108357,-19,"100"
"331",-0.105418912715638,-18,"100"
"332",-0.12316071807979,-17,"100"
"333",-0.141605263135359,-16,"100"
"334",-0.161145366557783,-15,"100"
"335",-0.18119755501706,-14,"100"
"336",-0.201874451949967,-13,"100"
"337",-0.223269523741421,-12,"100"
"338",-0.245485454090855,-11,"100"
"339",-0.268988075753977,-10,"100"
"340",-0.294580533115955,-9,"100"
"341",-0.32205763814436,-8,"100"
"342",-0.354627708898112,-7,"100"
"343",-0.388474647350959,-6,"100"
"344",-0.423820725251137,-5,"100"
"345",-0.461271069313804,-4,"100"
"346",-0.501247139254116,-3,"100"
"347",-0.545373698559674,-2,"100"
"348",-0.600746216152354,-1,"100"
"349",-0.652492575767689,0,"100"
"350",-0.632548943618024,1,"100"
"351",-0.61225191301367,2,"100"
"352",-0.593386146692376,3,"100"
"353",-0.575162896794606,4,"100"
"354",-0.557490123531161,5,"100"
"355",-0.540683361431592,6,"100"
"356",-0.525404429694753,7,"100"
"357",-0.511738357565948,8,"100"
"358",-0.501250380315277,9,"100"
"359",-0.490235194100499,10,"100"
"360",-0.478485479199213,11,"100"
"361",-0.467143572783173,12,"100"
"362",-0.456175871468616,13,"100"
"363",-0.445042943853744,14,"100"
"364",-0.437803824051463,15,"100"
"365",-0.429876069580833,16,"100"
"366",-0.421146280030205,17,"100"
"367",-0.412334685088556,18,"100"
"368",-0.40327008438372,19,"100"
"369",-0.39372368780429,20,"100"
"370",-0.383093776436628,21,"100"
"371",-0.371119357307382,22,"100"
