,Whole period,,,,,,Lockdown 1,,,,,,,Lockdown 2,,,,,,,Lockdown 3,Lockdown 3,,,,,
England,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Retail,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential,0,Retail,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential,0,Retail,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential,0,Retail,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential
Workplaces,0.82,0.82,0.15,0.87,1.00,,Workplaces,0.96,0.92,0.77,0.95,1.00,,Workplaces,0.95,0.86,0.13,0.95,1.00,,Workplaces,0.70,0.80,0.57,0.76,1.00,
Residential,-0.96,-0.87,-0.34,-0.97,-0.92,1.00,Residential,-0.99,-0.98,-0.88,-0.99,-0.98,1.00,Residential,-0.96,-0.88,-0.19,-0.97,-0.99,1.00,Residential,-0.94,-0.94,-0.88,-0.99,-0.85,1.00
South West,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1.00,,,,,,Retail,1.00,,,,,,Retail,1.00,,,,,,Retail,1.00,,,,,
Grocery and Pharmacy,0.90,1.00,,,,,Grocery and Pharmacy,0.98,1.00,,,,,Grocery and Pharmacy,0.98,1.00,,,,,Grocery and Pharmacy,0.89,1.00,,,,
Parks,0.53,0.56,1.00,,,,Parks,0.90,0.95,1.00,,,,Parks,0.15,0.04,1.00,,,,Parks,0.92,0.89,1.00,,,
Transit Stations,0.94,0.85,0.63,1.00,,,Transit Stations,0.98,0.99,0.95,1.00,,,Transit Stations,0.94,0.94,0.33,1.00,,,Transit Stations,0.97,0.94,0.96,1.00,,
Workplaces,0.79,0.80,0.24,0.78,1.00,,Workplaces,0.96,0.92,0.78,0.92,1.00,,Workplaces,0.97,0.91,0.30,0.92,1.00,,Workplaces,0.67,0.78,0.56,0.74,1.00,
Residential,-0.95,-0.90,-0.47,-0.93,-0.92,1.00,Residential,-0.99,-0.98,-0.90,-0.98,-0.97,1.00,Residential,-0.98,-0.93,-0.33,-0.95,-0.99,1.00,Residential,-0.94,-0.94,-0.92,-0.99,-0.81,1.00
West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1.00,,,,,,Retail,1.00,,,,,,Retail,1.00,,,,,,Retail,1.00,,,,,
Grocery and Pharmacy,0.88,1.00,,,,,Grocery and Pharmacy,0.98,1.00,,,,,Grocery and Pharmacy,0.98,1.00,,,,,Grocery and Pharmacy,0.88,1.00,,,,
Parks,0.40,0.36,1.00,,,,Parks,0.89,0.94,1.00,,,,Parks,-0.46,-0.37,1.00,,,,Parks,0.90,0.85,1.00,,,
Transit Stations,0.90,0.79,0.51,1.00,,,Transit Stations,0.99,0.99,0.93,1.00,,,Transit Stations,0.98,0.98,-0.32,1.00,,,Transit Stations,0.97,0.89,0.90,1.00,,
Workplaces,0.78,0.80,0.15,0.80,,,Workplaces,0.96,0.92,0.76,0.94,1.00,,Workplaces,0.95,0.93,-0.40,0.96,1.00,,Workplaces,0.62,0.76,0.45,0.70,1.00,
Residential,-0.95,-0.87,-0.39,-0.93,-0.91,1.00,Residential,-0.99,-0.97,-0.86,-0.98,-0.98,1.00,Residential,-0.95,-0.93,0.32,-0.97,-0.99,1.00,Residential,-0.94,-0.93,-0.85,-0.98,-0.82,1.00
Yorkshire and the Humber,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail,1.00,,,,,,Retail,1.00,,,,,,Retail,1.00,,,,,,Retail,1.00,,,,,
Grocery and Pharmacy,0.87,1.00,,,,,Grocery and Pharmacy,0.98,1.00,,,,,Grocery and Pharmacy,0.98,1.00,,,,,Grocery and Pharmacy,0.90,1.00,,,,
Parks,0.54,0.52,1.00,,,,Parks,0.88,0.92,1.00,,,,Parks,-0.77,-0.74,1.00,,,,Parks,0.91,0.89,1.00,,,
Transit Stations,0.93,0.88,0.60,1.00,,,Transit Stations,0.97,0.99,0.94,1.00,,,Transit Stations,0.96,0.96,-0.58,1.00,,,Transit Stations,0.99,0.89,0.90,1.00,,
Workplaces,0.78,0.79,0.25,0.85,1.00,,Workplaces,0.96,0.93,0.74,0.91,1.00,,Workplaces,0.93,0.95,-0.67,0.96,1.00,,Workplaces,0.71,0.71,0.49,0.74,1.00,
Residential,-0.95,-0.88,-0.50,-0.96,-0.91,1.00,Residential,-0.99,-0.98,-0.86,-0.97,-0.98,1.00,Residential,-0.95,-0.95,0.66,-0.97,-0.99,1.00,Residential,-0.97,-0.92,-0.87,-0.98,-0.83,1.00
