"","X","date","region","retail_recreation","grocery_pharmacy","parks","transit_stations","workplaces","residential","retail_recreation_av","grocery_pharmacy_av","parks_av","transit_stations_av","workplaces_av","residential_av"
"4445","new.4207",2021-02-18,"SOUTH EAST",-52.5263157894737,-13.6315789473684,17.9411764705882,-60.8421052631579,-56,21.8421052631579,-55.7293233082707,-16.406015037594,7.59807300113028,-60.3984962406015,-47.7744360902256,18.8826232247285
"4446","new.4167",2021-02-19,"SOUTH EAST",-56.3684210526316,-13.8947368421053,1.44444444444444,-61.1052631578947,-54.3684210526316,22,-56.0375939849624,-16.5714285714286,5.84807300113028,-60.3458646616541,-47.0676691729323,18.7848788638262
"4447","new.4168",2021-02-20,"SOUTH EAST",-59.4736842105263,-14.8421052631579,17.4736842105263,-59.6842105263158,-27.4736842105263,13.0526315789474,-55.5714285714286,-16.4661654135338,9.84390633446361,-59.7894736842105,-46.2406015037594,18.5142021720969
"4448","new.4129",2021-02-21,"SOUTH EAST",-59.8421052631579,-20,22.2352941176471,-56.3157894736842,-27.2631578947368,10.3888888888889,-55.203007518797,-15.9548872180451,13.1560311844036,-59.3759398496241,-45.406015037594,18.2134502923977
"4449","new.4130",2021-02-22,"SOUTH EAST",-53.2105263157895,-18.6315789473684,0.75,-59.8947368421053,-51.5263157894737,19.8947368421053,-55.1804511278195,-15.7744360902256,12.6376488314624,-59.2105263157895,-44.593984962406,18.0254803675856
"4450","new.4090",2021-02-23,"SOUTH EAST",-51.8947368421053,-15.3157894736842,20.5333333333333,-58.4736842105263,-51.1578947368421,20,-54.2781954887218,-14.8421052631579,18.2503472441608,-58.5563909774436,-43.6766917293233,17.6119465329992
"4451","new.4091",2021-02-24,"SOUTH EAST",-53.1052631578947,-15.3684210526316,11.7142857142857,-59.3157894736842,-50.0526315789474,20.3157894736842,-53.5639097744361,-14.1729323308271,22.2144241029745,-58.0225563909774,-43.1503759398496,17.4239766081871
"4452","new.4092",2021-02-25,"SOUTH EAST",-52.3684210526316,-12.3684210526316,14.3125,-59.6842105263158,-50.3157894736842,20.5263157894737,-52.8270676691729,-13.2255639097744,24.2790249433107,-57.6240601503759,-42.6390977443609,17.28111946533
"4453","new.4093",2021-02-26,"SOUTH EAST",-50.0526315789474,-7.36842105263158,40.7333333333333,-56.5263157894737,-47.9473684210526,19.1052631578947,-51.9699248120301,-12.4661654135338,27.809977324263,-57.2631578947368,-42.406015037594,17.093149540518
"4454","new.4134",2021-02-27,"SOUTH EAST",-54.4736842105263,-10.1578947368421,45.2222222222222,-55.9473684210526,-23.7894736842105,11.7368421052632,-51.812030075188,-12.1954887218045,27.0956916099773,-57.218045112782,-42.2556390977444,17.0405179615706
"4455","new.4135",2021-02-28,"SOUTH EAST",-54.6842105263158,-13.3684210526316,36.6875,-53.5263157894737,-23.6842105263158,9.38888888888889,-51.9398496240602,-12.2105263157895,24.6491129785247,-57.2255639097744,-42.1804511278195,17.0555555555556
"4456","new.4149",2021-03-01,"SOUTH EAST",-47.2105263157895,-13.3157894736842,25.4666666666667,-57.3684210526316,-49.8947368421053,18.5789473684211,-52.0375939849624,-12.1804511278196,22.3691760037348,-57.2105263157895,-42.0827067669173,17.0329991645781
"4457","new.4150",2021-03-02,"SOUTH EAST",-50.7894736842105,-13.4210526315789,15.5333333333333,-58.1578947368421,-50.1052631578947,19.6315789473684,-52.4285714285714,-12.3609022556391,17.9030695611578,-57.3308270676692,-41.9774436090226,17.1081871345029
"4458","new.4124",2021-03-03,"SOUTH EAST",-54,-15.4736842105263,-5.41176470588235,-59.3684210526316,-49.5263157894737,20.4210526315789,-52.6466165413534,-12.2781954887218,13.9013987173817,-57.5864661654135,-41.9774436090226,17.1833751044277
"4459","new.4098",2021-03-04,"SOUTH EAST",-53.0526315789474,-12.1578947368421,-1.64705882352941,-59.5789473684211,-49.6315789473684,20.3684210526316,-52.8270676691729,-12.1954887218045,12.6519239274657,-57.7218045112782,-41.796992481203,17.2151211361738
