"","mob_index","r_index"
"346",222,173
"347",223,173
"348",224,173
"349",225,173
"350",226,173
"351",227,173
"352",228,173
"353",229,173
"354",230,173
"355",231,173
"356",232,173
"357",233,173
"358",234,173
"359",235,173
"360",236,173
"361",237,174
"362",237,175
"363",237,176
"364",237,177
"365",237,178
"366",237,179
"367",237,180
"368",237,181
"369",237,182
"370",237,183
"371",237,184
"372",237,185
"373",237,186
"374",238,187
"375",238,188
"376",239,189
"377",240,189
"378",241,189
"379",242,189
"380",243,189
"381",244,189
"382",245,189
"383",246,189
"384",247,189
"385",248,189
"386",249,189
"387",250,189
"388",251,189
"389",252,189
"390",253,189
"391",254,189
"392",255,189
"393",256,189
"394",257,189
"395",258,189
"396",259,189
"397",260,189
"398",261,189
"399",262,190
"400",263,191
"401",264,191
"402",265,191
"403",266,191
"404",267,191
"405",268,191
"406",269,191
"407",270,191
"408",271,191
"409",272,191
"410",273,191
"411",274,191
"412",275,191
"413",276,191
"414",277,191
"415",278,191
"416",279,191
"417",280,191
"418",281,191
"419",282,192
"420",282,193
"421",283,194
"422",284,195
"423",285,195
"424",286,196
"425",287,196
"426",288,196
"427",289,197
"428",290,197
"429",291,197
"430",292,197
"431",293,197
"432",294,197
"433",295,197
"434",296,198
"435",297,198
"436",298,198
"437",299,199
"438",300,199
"439",301,200
"440",302,200
"441",303,200
"442",304,201
"443",305,201
"444",306,201
"445",307,201
"446",307,202
"447",307,203
"448",307,204
"449",307,205
"450",307,206
"451",307,207
"452",307,208
"453",307,209
"454",307,210
"455",307,211
"456",307,212
"457",307,213
"458",307,214
"459",307,215
"460",307,216
"461",307,217
"462",307,218
"463",307,219
"464",307,220
"465",307,221
"466",308,221
"467",309,221
"468",310,221
"469",311,221
"470",312,221
"471",313,221
"472",314,221
"473",315,221
"474",315,222
"475",316,223
"476",316,224
"477",317,225
"478",318,226
"479",318,227
"480",319,228
"481",319,229
"482",319,230
"483",319,231
"484",319,232
"485",319,233
"486",319,234
"487",319,235
"488",319,236
"489",319,237
"490",319,238
"491",319,239
"492",319,240
"493",319,241
"494",319,242
"495",319,243
"496",319,244
"497",319,245
"498",319,246
"499",319,247
"500",320,248
"501",320,249
"502",320,250
"503",321,251
"504",322,252
"505",322,253
"506",322,254
"507",322,255
"508",323,256
"509",323,257
"510",323,258
"511",323,259
"512",323,260
"513",324,261
"514",324,262
"515",324,263
"516",324,264
"517",325,265
"518",325,266
"519",325,267
"520",325,268
"521",325,269
"522",325,270
"523",325,271
"524",325,272
"525",325,273
"526",325,274
"527",325,275
"528",326,275
"529",327,276
"530",327,277
"531",327,278
"532",328,279
"533",328,280
"534",328,281
"535",328,282
"536",328,283
"537",328,284
"538",328,285
