"","week","week_start_date","region","type_mobility","mobility_av"
"results.225",58,2020-02-26,"East","transit_stations_av",-56.0306122448979
"results.226",58,2020-02-26,"East","workplaces_av",-37.2877551020408
"results.227",58,2020-02-26,"East","residential_av",15.5734693877551
"results.228",58,2020-02-26,"East Midlands","retail_recreation",-59.3769841269841
"results.229",58,2020-02-26,"East Midlands","grocery_pharmacy",-18.8928571428571
"results.230",58,2020-02-26,"East Midlands","parks",-0.943027210884343
"results.231",58,2020-02-26,"East Midlands","transit_stations",-55.1607142857143
"results.232",58,2020-02-26,"East Midlands","workplaces",-40.1706349206349
"results.233",58,2020-02-26,"East Midlands","residential",15.7857142857143
"results.234",58,2020-02-26,"East Midlands","retail_recreation_av",-52.7568027210884
"results.235",58,2020-02-26,"East Midlands","grocery_pharmacy_av",-11.155612244898
"results.236",58,2020-02-26,"East Midlands","parks_av",14.8619209588597
"results.237",58,2020-02-26,"East Midlands","transit_stations_av",-49.9107142857143
"results.238",58,2020-02-26,"East Midlands","workplaces_av",-36.8072562358277
"results.239",58,2020-02-26,"East Midlands","residential_av",14.4104308390023
"results.240",58,2020-02-26,"London","retail_recreation",-69.4285714285714
"results.241",58,2020-02-26,"London","grocery_pharmacy",-25.4285714285714
"results.242",58,2020-02-26,"London","parks",-24.1428571428571
"results.243",58,2020-02-26,"London","transit_stations",-69.1428571428571
"results.244",58,2020-02-26,"London","workplaces",-54.5714285714286
"results.245",58,2020-02-26,"London","residential",22.4285714285714
"results.246",58,2020-02-26,"London","retail_recreation_av",-63.9795918367347
"results.247",58,2020-02-26,"London","grocery_pharmacy_av",-18.1224489795918
"results.248",58,2020-02-26,"London","parks_av",-5.48979591836735
"results.249",58,2020-02-26,"London","transit_stations_av",-64.4489795918367
"results.250",58,2020-02-26,"London","workplaces_av",-51.1836734693877
"results.251",58,2020-02-26,"London","residential_av",20.5918367346939
"results.252",58,2020-02-26,"North East","retail_recreation",-57.9464285714286
"results.253",58,2020-02-26,"North East","grocery_pharmacy",-17.5892857142857
"results.254",58,2020-02-26,"North East","parks",-11.7017006802721
"results.255",58,2020-02-26,"North East","transit_stations",-54.9464285714286
"results.256",58,2020-02-26,"North East","workplaces",-37.5714285714286
"results.257",58,2020-02-26,"North East","residential",14.609693877551
"results.258",58,2020-02-26,"North East","retail_recreation_av",-50.9234693877551
"results.259",58,2020-02-26,"North East","grocery_pharmacy_av",-9.19132653061224
"results.260",58,2020-02-26,"North East","parks_av",4.31822157434403
"results.261",58,2020-02-26,"North East","transit_stations_av",-49.3418367346939
"results.262",58,2020-02-26,"North East","workplaces_av",-33.8086734693878
"results.263",58,2020-02-26,"North East","residential_av",13.2445335276968
"results.264",58,2020-02-26,"North West","retail_recreation",-58.1
"results.265",58,2020-02-26,"North West","grocery_pharmacy",-18.9
"results.266",58,2020-02-26,"North West","parks",-6.49178004535148
"results.267",58,2020-02-26,"North West","transit_stations",-56.3428571428571
"results.268",58,2020-02-26,"North West","workplaces",-40.8
"results.269",58,2020-02-26,"North West","residential",15.7428571428571
"results.270",58,2020-02-26,"North West","retail_recreation_av",-51.4632653061224
"results.271",58,2020-02-26,"North West","grocery_pharmacy_av",-11.0714285714286
"results.272",58,2020-02-26,"North West","parks_av",6.64868804664723
"results.273",58,2020-02-26,"North West","transit_stations_av",-50.5979591836735
"results.274",58,2020-02-26,"North West","workplaces_av",-37.3326530612245
"results.275",58,2020-02-26,"North West","residential_av",14.4061224489796
"results.276",58,2020-02-26,"South East","retail_recreation",-61.6842105263158
"results.277",58,2020-02-26,"South East","grocery_pharmacy",-23.0075187969925
"results.278",58,2020-02-26,"South East","parks",-13.6096116516782
"results.279",58,2020-02-26,"South East","transit_stations",-63.593984962406
"results.280",58,2020-02-26,"South East","workplaces",-47.3984962406015
"results.281",58,2020-02-26,"South East","residential",19.2510442773601
"results.282",58,2020-02-26,"South East","retail_recreation_av",-54.1041890440387
"results.283",58,2020-02-26,"South East","grocery_pharmacy_av",-15.0085929108486
"results.284",58,2020-02-26,"South East","parks_av",5.83127497866315
"results.285",58,2020-02-26,"South East","transit_stations_av",-57.5682062298604
"results.286",58,2020-02-26,"South East","workplaces_av",-43.4081632653061
"results.287",58,2020-02-26,"South East","residential_av",17.4656283566058
"results.288",58,2020-02-26,"South West","retail_recreation",-61.8351648351648
"results.289",58,2020-02-26,"South West","grocery_pharmacy",-21.7362637362637
"results.290",58,2020-02-26,"South West","parks",-4.14835164835164
"results.291",58,2020-02-26,"South West","transit_stations",-59.5824175824176
"results.292",58,2020-02-26,"South West","workplaces",-43.6923076923077
"results.293",58,2020-02-26,"South West","residential",17.1648351648352
"results.294",58,2020-02-26,"South West","retail_recreation_av",-54.0737833594976
"results.295",58,2020-02-26,"South West","grocery_pharmacy_av",-13.3328100470958
"results.296",58,2020-02-26,"South West","parks_av",19.9518838304553
"results.297",58,2020-02-26,"South West","transit_stations_av",-52.1067503924647
"results.298",58,2020-02-26,"South West","workplaces_av",-39.5886970172684
"results.299",58,2020-02-26,"South West","residential_av",15.4536891679749
"results.300",58,2020-02-26,"West Midlands","retail_recreation",-58.2448979591837
"results.301",58,2020-02-26,"West Midlands","grocery_pharmacy",-20.6122448979592
"results.302",58,2020-02-26,"West Midlands","parks",-8.10204081632653
"results.303",58,2020-02-26,"West Midlands","transit_stations",-58.4285714285714
"results.304",58,2020-02-26,"West Midlands","workplaces",-38.9795918367347
"results.305",58,2020-02-26,"West Midlands","residential",15.7755102040816
"results.306",58,2020-02-26,"West Midlands","retail_recreation_av",-50.8542274052478
"results.307",58,2020-02-26,"West Midlands","grocery_pharmacy_av",-12.4927113702624
"results.308",58,2020-02-26,"West Midlands","parks_av",8.18610301263362
"results.309",58,2020-02-26,"West Midlands","transit_stations_av",-52.2361516034986
"results.310",58,2020-02-26,"West Midlands","workplaces_av",-35
"results.311",58,2020-02-26,"West Midlands","residential_av",14.2069970845481
"results.312",58,2020-02-26,"Yorkshire and the Humber","retail_recreation",-59.4642857142857
"results.313",58,2020-02-26,"Yorkshire and the Humber","grocery_pharmacy",-18.3214285714286
