"","(Intercept)","days_since_lockdown","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Bath and North East Somerset",-66.366182836771,0.26585179526356,-16.6825184619302,-14.6315253374077,-14.8973771326713,-14.2024446142093,-15.8016297428062,2.18251846193023
"Bedford",-48.8200280112045,0.310924369747899,-26.5609243697479,-23.4351285968933,-23.564234784823,-23.0672268907563,-25.0448179271709,-4.35574229691877
"Blackburn with Darwen",-47.2353705118411,0.349045072574484,-24.6823784059078,-21.6355233002292,-21.1663865546219,-21.1195314489432,-24.6352431881844,-6.48428826075885
"Blackpool",-55.6125923096511,0.301909854851031,-14.301909854851,-11.1001655207538,-11.4929844665139,-11.2609371021135,-13.0628469569646,-1.61475681181564
"Borough of Halton",-49.3462948815889,0.309549274255156,-22.7262159409218,-19.5811306340718,-19.7997708174179,-19.3213521772345,-21.7975681181564,-3.60711739241151
"Bracknell Forest",-57.849923605806,0.315660809778457,-26.3156608097785,-23.7765087853323,-23.5467150496562,-23.0530175706646,-23.8686783804431,1.06566080977846
"Brighton and Hove",-63.3457983193277,0.261344537815126,-19.6780112044818,-18.1079831932773,-18.2784186401834,-17.3826330532213,-18.3106442577031,-1.23865546218488
"Bristol City",-55.4046855105679,0.272803666921314,-27.5228036669213,-25.3256429844665,-25.2348102877515,-24.9315889992361,-25.9543926661574,-3.39386299974537
"Buckinghamshire",-56.9595492742551,0.342398777692895,-25.8423987776929,-23.4636745607334,-23.4424369747899,-22.889470333588,-24.0652024446142,-1.57426788897377
"Cambridgeshire",-54.3231729055258,0.282887700534759,-25.4495543672014,-22.8105169340463,-23.0934046345811,-22.6513368983957,-23.9342245989305,-1.71711229946524
"Central Bedfordshire",-52.5668958492488,0.353017570664629,-27.686350903998,-25.0083524318818,-25.1795518207283,-24.5242806213395,-26.6272981920041,-4.73031576266871
"Cheshire East",-52.8847975553858,0.31650114591291,-24.6498344792463,-22.138884644767,-22.0917494270435,-22.0504965622613,-23.8669977081742,-4.68349885408709
"Cheshire West and Chester",-56.3893048128342,0.292513368983957,-20.2091800356506,-18.220320855615,-18.4219251336898,-17.7057932263815,-19.9149732620321,-3.04081996434938
"Cornwall",-57.0021263050675,0.347440794499618,-17.0141074611663,-15.1682327476445,-15.2429462694168,-14.6243442831678,-17.0551184110008,-2.15255920550038
"County Durham",-54.5899541634835,0.309396485867074,-19.7260631525338,-16.8768143621085,-16.4589381207028,-16.1551438757321,-19.0478736949325,-2.27393684746626
"Cumbria",-59.4830914183855,0.33292589763178,-16.8329258976318,-14.8339444868857,-15.1668703845175,-14.7512223071047,-16.7508148714031,-3.33374076903489
"Darlington",-51.7937611408199,0.312299465240641,-20.645632798574,-17.3345811051693,-18.0105169340463,-17.4797682709447,-20.1254010695187,-4.68770053475936
"Derby",-54.1461420932009,0.34087089381207,-22.8408708938121,-20.1250572956455,-20.1022918258212,-19.6440539852305,-21.7349248790425,-3.57579577285461
"Derbyshire",-54.6606315253374,0.33720397249809,-20.2538706391648,-17.4638910109498,-17.892004074357,-17.2383880825057,-19.5755920550038,-3.9127960275019
"Devon",-55.598128342246,0.333689839572193,-19.0836898395722,-16.4767379679144,-16.9922459893048,-16.0822638146168,-18.7492869875223,-3.99964349376115
"Dorset",-56.8318181818182,0.327272727272727,-19.6606060606061,-16.8954545454545,-17.1318181818182,-16.3515151515151,-19.1787878787879,-3.75606060606062
"East Riding of Yorkshire",-53.2693277310924,0.33781512605042,-19.6711484593838,-16.7887318563789,-17.3992742551566,-16.7365546218487,-19.5743697478992,-3.74551820728291
"East Sussex",-56.5179653679654,0.333766233766234,-19.1670995670996,-16.6508658008658,-16.984632034632,-16.4987012987013,-18.4158008658009,-1.83290043290044
"Essex",-55.3504074357015,0.349809014514896,-23.5998090145149,-21.1874076903489,-21.1735803412274,-20.7839062897886,-22.3003819709702,-2.31685765215177
"Gloucestershire",-54.3884390119684,0.336669213139801,-22.5033358798065,-19.6237840590782,-19.960453272218,-19.1566590272473,-21.4099949070537,-3.07999745352687
"Greater London",-61.4472880061115,0.305958747135217,-23.6392920804686,-22.0637891520244,-22.0061115355233,-21.5821237585943,-22.1380825057296,-1.61070791953145
