"","sub_region_1","Min_during_lockdown","Pre_lockdown_av","Drop","Min_days","Mobility_30days","Rebound_30days"
"X.38","Medway","-60","-32.1428571428571","27.8571428571429","35","-32.5555555555556","27.4444444444444"
"X.39","Merseyside","-52","-35.6428571428571","16.3571428571429","41","-28.5","23.5"
"X.40","Middlesbrough","-44","-26.7142857142857","17.2857142857143","9","-28.2105263157895","15.7894736842105"
"X.41","Milton Keynes","-53","-34.8571428571429","18.1428571428571","9","-35.7368421052632","17.2631578947368"
"X.42","Norfolk","-57","-30","27","34","-25","32"
"X.43","North East Lincolnshire","-40","-23.5714285714286","16.4285714285714","42","-17.8","22.2"
"X.44","North Lincolnshire","-42","-24.0714285714286","17.9285714285714","42","-18.6","23.4"
"X.45","North Somerset","-50","-30","20","41","-24.8333333333333","25.1666666666667"
"X.46","North Yorkshire","-55","-37.8571428571429","17.1428571428571","9","-39.2105263157895","15.7894736842105"
"X.47","Northamptonshire","-53","-28.2857142857143","24.7142857142857","20","-27.125","25.875"
"X.48","Northumberland","-50","-35","15","9","-35.6315789473684","14.3684210526316"
"X.49","Nottingham","-55","-37.9285714285714","17.0714285714286","20","-39","16"
"X.50","Nottinghamshire","-47","-27.7142857142857","19.2857142857143","9","-30.4736842105263","16.5263157894737"
"X.51","Oxfordshire","-57","-36.7857142857143","20.2142857142857","9","-39.9473684210526","17.0526315789474"
"X.52","Peterborough","-47","-26.1428571428571","20.8571428571429","20","-25.625","21.375"
"X.53","Plymouth","-48","-28.6428571428571","19.3571428571429","14","-30.0714285714286","17.9285714285714"
"X.54","Portsmouth","-54","-36.7857142857143","17.2142857142857","7","-41.5714285714286","12.4285714285714"
"X.55","Reading","-63","-42.7142857142857","20.2857142857143","41","-35.8333333333333","27.1666666666667"
"X.56","Redcar and Cleveland","-43","-27.7142857142857","15.2857142857143","16","-25.0833333333333","17.9166666666667"
"X.57","Rutland","-62","-32.4166666666667","29.5833333333333","20","-39.625","22.375"
"X.58","Shropshire","-47","-25.7857142857143","21.2142857142857","20","-26.5","20.5"
"X.59","Slough","-54","-35.2857142857143","18.7142857142857","9","-38.3157894736842","15.6842105263158"
"X.60","Somerset","-47","-28.0714285714286","18.9285714285714","42","-20.4","26.6"
"X.61","South Gloucestershire","-55","-33.2142857142857","21.7857142857143","41","-28.5","26.5"
"X.62","South Yorkshire","-57","-30.5714285714286","26.4285714285714","28","-22.5","34.5"
"X.63","Southampton","-56","-40.2142857142857","15.7857142857143","41","-36.5","19.5"
"X.64","Southend-on-Sea","-57","-36.2142857142857","20.7857142857143","34","-33.875","23.125"
"X.65","Staffordshire","-51","-28","23","20","-28.875","22.125"
"X.66","Stockton-on-Tees","-46","-29.2142857142857","16.7857142857143","41","-20.5","25.5"
"X.67","Stoke-on-Trent","-41","-24.6428571428571","16.3571428571429","41","-21.6666666666667","19.3333333333333"
"X.68","Suffolk","-63","-33.2857142857143","29.7142857142857","34","-29","34"
"X.69","Surrey","-63","-38.5","24.5","42","-28.8","34.2"
"X.70","Swindon","-51","-31.5714285714286","19.4285714285714","41","-25.6666666666667","25.3333333333333"
"X.71","Thurrock","-52","-33.1428571428571","18.8571428571429","9","-34.4210526315789","17.5789473684211"
"X.72","Torbay","-48","-29.2857142857143","18.7142857142857","42","-22.4","25.6"
"X.73","Tyne and Wear","-51","-34.5","16.5","41","-28.6666666666667","22.3333333333333"
"X.74","Warrington","-55","-34.1428571428571","20.8571428571429","41","-28.5","26.5"
"X.75","Warwickshire","-53","-31.2142857142857","21.7857142857143","20","-31.875","21.125"
"X.76","West Berkshire","-60","-37.1428571428571","22.8571428571429","41","-31","29"
"X.77","West Midlands","-57","-30.8571428571429","26.1428571428571","20","-31.375","25.625"
"X.78","West Sussex","-53","-32.4285714285714","20.5714285714286","41","-27.1666666666667","25.8333333333333"
"X.79","West Yorkshire","-65","-33.5714285714286","31.4285714285714","28","-24","41"
"X.80","Wiltshire","-52","-30.3571428571429","21.6428571428571","42","-21.6","30.4"
"X.81","Windsor and Maidenhead","-64","-41.8571428571429","22.1428571428571","9","-45","19"
"X.82","Wokingham","-68","-40.7142857142857","27.2857142857143","42","-32.8","35.2"
"X.83","Worcestershire","-53","-29.0714285714286","23.9285714285714","20","-29.75","23.25"
"X.84","York","-62","-44.5714285714286","17.4285714285714","41","-36.3333333333333","25.6666666666667"
