"","(Intercept)","days_since_lockdown","bank_holiday1","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Darlington",-68.4966806773562,0.234528566239427,-19.2233926625499,3.44703094459724,1.33094286752114,0.433930949786422,-2.09641430128173,-0.0493833566844779,2.76786189957276
"Derby",-73.7067406984587,0.345410201857713,-16.8100254268071,-0.158075173403905,-2.29082040371543,-1.05229489907109,-2.03043606109353,-0.255177901164101,-4.25458979814228
"Derbyshire",-59.7967740819538,0.364719007835608,-14.2126770795496,6.51612613080103,5.60389531766211,6.27402617058451,6.29415702350681,4.6769498209745,-2.8352809921644
"Devon",-64.527332952796,0.408691816719423,-21.2902288412641,10.0106567726982,7.78261636656114,5.69601257502642,8.29274211682492,6.10339888952309,-3.32464151661391
"Dorset",-67.4458824139898,0.385771366301696,-14.4307119505993,5.30960943040493,2.4284572673966,1.0053856831509,3.82398076557175,3.93359019597666,-0.547561967031637
"East Riding of Yorkshire",-53.5084479269368,0.341668828810129,-18.9197239375227,-4.14702056630862,-4.55000432428692,-4.30416558559489,-7.10832684690295,-5.78868074654488,-12.2583311711899
"East Sussex",-60.9011865843322,0.342789683981111,-15.8546131492917,-1.152482140695,-2.15224603462889,-2.03277182467607,-2.10496428139001,0.675886911248333,-4.05721031601888
"Essex",-80.3319080483627,0.191168076384204,-14.8116600072648,4.46294259076678,7.61766384723158,7.54558403819216,4.10683756248594,5.36978015325271,1.52450140971754
"Gloucestershire",-71.915870133015,0.348098178610347,-14.4108245550309,9.21262345839172,5.77047030944596,5.76571575597189,8.17762786916436,4.52358466088939,-1.78523515472299
"Greater London",-73.0446076142043,0.203357376368636,-13.6973301852524,-0.623535364018474,-1.54004808607061,-2.31915464514896,-2.72326120422743,-0.48012990157923,-0.0633092902980274
"Greater Manchester",-73.9853199107466,0.188402262466919,-13.8507991282237,4.13498434608133,3.35652880839949,1.40670113123351,1.89854012073408,2.56685780014874,-0.0782644041997493
"Hampshire",-69.9214674900108,0.372103160188884,-14.9538685070832,2.49148807361666,2.85579367962223,0.886051580094487,-0.417023852766692,0.141130887516644,-1.22789683981111
"Hartlepool",-61.1464549495787,0.344901665715323,-22.0409553214675,6.92449535571584,4.04353000190268,2.10161749952437,4.96803833047929,3.09253368619512,0.211568332381988
"Herefordshire",-64.6988462802483,0.297462508432359,-20.0119869233563,5.57000328645806,7.40507498313527,3.20706458754956,5.69238752529706,2.79572414508845,-7.10253749156764
"Isle of Wight",-75.0516734990399,0.457578745264905,-21.0163458045768,10.1435109750402,7.61817584280351,7.0287893726325,7.23940290246136,6.9162472108349,-2.20908792140176
"Kent",-64.2947139916627,0.309963157075398,-20.5879041046131,3.12923044989881,3.1800736858492,1.39664824520441,1.39655613789285,1.39245325445833,0.109963157075399
"Kingston upon Hull",-66.9111082282531,0.305241035753204,-24.1608245550309,8.03881393458219,5.52285126182692,4.44845385120998,3.9157231072596,4.68787037517512,-1.4947589642468
"Lancashire",-64.8871983809869,0.273343365678999,-17.3575190701053,4.81715790566135,4.653313268642,3.72417168283954,2.95336343037032,2.83718800269834,-4.726656634321
"Leicester",-70.3763098265095,0.268735405531627,-23.7918634217217,6.58405548924983,6.59586252227007,5.1427010360992,4.13953954992821,5.72359503917802,0.00206873886495916
"Leicestershire",-63.7626502689706,0.201811011364226,-17.4607700690156,9.22890699323682,9.26304464393821,10.0425721723488,9.40543303409267,6.90100669399613,-2.26485565530245
"Lincolnshire",-59.605813571342,0.330927300088215,-24.4812023247366,2.63448618822757,2.00481206649023,0.419630316710814,1.12611523359797,-0.372731911507802,-10.7357393665784
"Luton",-75.5859529863524,0.0374708110632551,-5.8337268434435,-2.24855568816702,-0.00827495545984663,0.306235405531679,-0.220920900143575,-0.469476588310594,-0.429195855603415
"Medway",-58.8972878072405,0.230766436614602,-24.1537413730476,-1.7538503450781,-3.32819953989587,-3.78045011502599,-3.1077006901562,-1.52821770190096,-3.50256689671873
"Merseyside",-75.6717606766643,0.239089824088008,-15.0730112604431,7.23244425994154,7.98848701849064,7.24454491204405,4.78393613893068,5.4163803988722,1.23908982408801
"Middlesbrough",-69.8526421393111,0.296590732188262,-26.7292953142027,3.68536228875858,0.60681853562347,0.344128699427506,0.956438863231444,1.57513448532335,-4.30340926781174
"Milton Keynes",-69.2613201183124,0.220024907892688,-13.4652197602615,3.21098974279142,1.95995018421462,1.77251245394639,0.393408057011396,1.73773113313614,-1.04664175877398
"Norfolk",-70.7192119419507,0.272689533495926,-21.8330003632401,4.18284382405341,4.65462093300814,4.34051143341467,3.28473526715443,3.20091242454118,-4.79397713317073
"North East Lincolnshire",-40.2671163925068,0.382398422500129,-27.9113694151834,-1.5216404614879,0.635203154999742,0.691199211250097,-4.98613806583295,-2.04111186065417,-8.48426824416652
"North Lincolnshire",-40.0914794250428,0.190405272170619,-28.5330548492554,5.04513171777974,6.01918945565876,7.72020263608534,6.17121581651186,5.88301420095824,8.39040527217062
"North Somerset",-85.9724110494178,0.156712158165118,-5.84099164547763,7.83268728486673,10.2199090170031,12.8075227457493,7.60346980782868,6.36949042602872,3.49004549149845
"North Yorkshire",-63.5586719249995,0.434440350786155,-16.3986560116237,4.92547004998876,5.39778596509435,4.12555350872645,4.70332105235846,3.96212443568053,-5.03222631588052
"Northamptonshire",-63.3341514884195,0.21259405324062,-14.5079912822375,7.55460536557522,8.17481189351875,8.92296369328702,8.63778215972186,6.92572085863038,0.212594053240623
"Northumberland",-58.0348554823309,0.332733122308131,-17.8346349436978,2.25624254060505,-2.93213291128294,-2.49613343884589,0.0648660335910484,-1.74555809247056,-4.06726687769187
"Nottingham",-74.82970958089,0.1879819417778,-15.4064656738104,5.90578243647623,4.49070278311106,3.33565763755561,3.9639458253334,3.66972826180961,-1.94535139155553
"Nottinghamshire",-56.8763080967948,0.27188002698355,-19.3383581547403,2.75067718333247,3.0562399460329,1.72760668015849,2.74897341428397,1.09965059761644,-3.66145330634979
"Oxfordshire",-71.7443602649922,0.253038243993565,-12.0960770069015,4.8867002231332,3.56059017867953,2.95985245533016,2.69244806531402,3.51248162178055,-2.01362842267309
"Peterborough",-76.3807465448946,0.302781381350215,-17.7828732292045,5.48274350059676,5.46110390396623,3.67222402400849,4.1750108107173,3.85775431131405,4.16944804801688
"Plymouth",-55.389604414232,0.299174926054693,-23.4333454413367,0.0630481033677507,-2.26501651877606,-4.19207920363928,-2.03580855516926,-2.7727604518015,-4.56749174061197
"Portsmouth",-62.434020030097,0.351585283586736,-16.7915909916455,2.76785411585629,1.63016276615985,-2.33670735820659,1.18808918409353,-1.84405670005017,-2.98174804974659
"Reading",-79.343737567675,0.185101966685693,-10.8341808935706,0.270510092885682,-1.57020393337139,-2.62411568332376,-2.77802743327626,-0.30751734039057,-2.94823136664764
"Redcar and Cleveland",-55.5509072353968,0.250646048466607,-24.3635125317835,4.04025478698563,1.03204123640011,2.70448969090001,-0.98139518793352,3.92552626571878,-3.94935395153339
"Rutland",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shropshire",-72.0798280663518,0.372575372321104,-16.7215764620414,9.07552972514833,7.05484925535778,6.51962101949393,7.05105945029662,5.32658917544494,1.70590870565443
"Slough",-66.4560410288342,0.217409579160396,-18.3671449328006,-3.72626658364036,-4.50148582498746,-4.39546187708643,-5.34777126251882,-0.674037846159159,-0.915923754172934
"Somerset",-69.4000536211578,0.4025167349904,-23.8086632764257,12.7180608167713,12.9282998633525,10.5804250341619,11.8075502049712,7.25894435507581,-3.19748326500959
"South Gloucestershire",-63.4102087765727,0.240444190752944,-0.588085724663985,-5.33457180910868,-6.61422171483922,-6.58811123795682,-7.27866742774117,-4.74657257018316,0.707110857419618
"South Yorkshire",-66.1018594433777,0.219531939183228,-17.5181620050853,1.48167886115579,0.427602788300206,-0.423567363741679,-0.541404182450321,1.34027467870547,-5.7138013941501
"Southampton",-74.2098939684845,0.212765295002854,-14.8001271340356,4.64057651393285,2.57446940999429,0.602215980834815,1.63829588500855,2.14553906560807,-2.58723470499715
"Southend-on-Sea",-74.1012920969331,0.250967775413834,-17.2684344351616,1.36692785359694,2.56473111583899,1.67548388770696,-0.847096673758507,2.45316451317177,1.18430110874717
"Staffordshire",-68.1342068392921,0.311966166779098,-17.5201598256447,11.7893778215972,10.4427343331085,9.8809830833896,10.6692318336706,9.92527632193448,-0.488033833220901
"Stockton-on-Tees",-63.8917561794059,0.287265839863006,-25.5938975662913,1.48566066455641,0.625468320273981,-0.814700413401787,-0.871535813744324,-0.785875149187906,-4.44606749347033
"Stoke-on-Trent",-65.6542369363291,0.197249753515645,-19.6111514711224,2.91016034455918,1.47216715963537,1.67362487675787,-0.0749174061197379,1.10190960510611,-4.86941691315102
"Suffolk",-61.8833774410599,0.319812152975974,-26.0643843080276,-0.448853199107472,-1.37295763928529,-1.71926059017864,-2.10723020773875,1.37724992648712,-8.21352118035736
"Surrey",-66.9713023022503,0.272414508847491,-13.6441155103523,-6.22947347482401,-7.14482901769498,-6.14295941224288,-8.0494231401242,-5.21222994828151,-5.3275854911525
"Swindon",-66.1173179042775,0.216050023351149,-20.4947330185252,2.21693217788387,-0.565433380035634,-2.85030832165772,-3.81851659661323,0.198415581270654,0.216050023351152
"Thurrock",-42.7183228685589,0.289024959784131,-31.2312931347621,-9.07360541746667,-10.2447165862349,-11.3929875201079,-11.6662584539809,-10.6065305381142,-10.3109750402159
"Torbay",-61.0690121598947,0.335893311192984,-20.9531420268797,7.46098282393234,3.39488004428069,2.5596133222632,2.34101326691227,2.8019960908446,-5.73077335547368
"Tyne and Wear",-68.8166121806513,0.199055575735561,-18.2145840900835,5.54858336360334,4.06855551519554,3.42869445453448,3.59716672720667,2.67908342414334,-0.80094442426444
"Warrington",-67.3815076193935,0.319147942504281,-27.3251907010534,4.03586477089928,3.36170411499143,1.81374063791886,2.02411049417949,2.52664193174544,-1.81418539082905
"Warwickshire",-68.8489941708611,0.228597374292979,-11.5366872502724,6.07384844239185,5.94280525141403,5.72263202047987,5.55245878954559,5.6929738986041,-1.97140262570702
"West Berkshire",-82.4699980973136,0.343459083597114,-11.9511442063204,17.2532838634909,14.9130818328058,15.3133962084653,15.5637105841247,14.4836611142822,4.54345908359711
"West Midlands",-71.7778873263798,0.200840641378236,-15.6386669088267,4.44173715254355,2.26498538391019,2.6712536540225,0.735855257468037,3.24425907667824,0.334173974711571
"West Sussex",-86.9394184698942,0.13722173213637,-6.93152924082817,5.92488021725217,8.99222320239392,8.98527753273491,7.07833186307576,6.80321208032792,3.33722173213636
"West Yorkshire",-68.49778077595,0.234549322816667,-17.6527424627679,2.27563350803453,0.330901354366664,0.933941328075038,-1.49635203155,0.979281476484524,-3.16545067718333
"Wiltshire",-68.1275630048604,0.29045716361372,-16.1064293498002,4.64997145970629,4.08575233943922,3.25356191514024,4.73803815750782,2.9880096172141,-1.17620950305295
"Windsor and Maidenhead",-58.3487814159444,0.415385812879456,-8.75553941155103,-21.8316831854427,-23.2974382924256,-23.5839737602269,-24.4205092280283,-18.6521924134709,-9.58461418712053
"Wokingham",-65.9739626035666,0.235986715790566,-11.3852161278605,-12.0769723072665,-13.3386400982478,-13.165339975438,-13.6920398526283,-11.5023454932281,-8.83067995087609
"Worcestershire",-72.371883486413,0.415821701001504,-19.2718852161278,8.60230398007369,7.50168993133032,6.54124418383414,6.98079843633783,6.91643574974484,-3.78417829899849
"York",-83.4944995070312,0.299896217113797,-14.1032509989103,6.90698718281355,4.2002075657724,3.93744810855696,2.09968865134138,3.80667583415493,-0.3001037828862
