"","(Intercept)","days_since_lockdown","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Plymouth",-66.4306122448979,0.624489795918367,10.1255102040816,7.00102040816326,10.8765306122449,8.12346938775513,4.99897959183673,-3.12551020408163
"Portsmouth",-70.0020408163265,0.481632653061224,15.7683673469388,12.0367346938776,15.0551020408163,13.6948979591837,8.46326530612245,-1.51836734693878
"Reading",-72.2224489795918,0.497959183673468,10.0020408163265,7.50408163265306,12.0061224489796,7.24387755102046,4.24591836734694,-3.00204081632653
"Redcar and Cleveland",-67.2285714285714,0.442857142857142,13.5571428571429,11.1142857142857,12.4214285714286,9.32857142857146,6.88571428571428,1.69285714285714
"Rutland",-50.7214285714285,0.171428571428571,NA,NA,NA,NA,NA,-7.17142857142858
"Shropshire",-64.5469387755102,0.577551020408163,13.4224489795918,12.8448979591837,14.5173469387755,10.7326530612245,8.40510204081632,-1.92244897959184
"Slough",-49.4908163265306,0.33265306122449,7.41734693877551,7.08469387755102,9.50204081632653,6.74795918367348,6.91530612244898,0.582653061224488
"Somerset",-64.4387755102041,0.551020408163265,11.6989795918367,11.6479591836735,12.0969387755102,9.90306122448981,7.10204081632653,-1.94897959183674
"South Gloucestershire",-62.830612244898,0.524489795918368,11.9755102040816,11.4510204081633,11.1765306122449,11.0734693877551,8.29897959183674,3.02448979591837
"South Yorkshire",-64.584693877551,0.487755102040816,10.0122448979592,8.27448979591836,11.2867346938776,6.71326530612248,5.97551020408163,-2.01224489795919
"Southampton",-75.334693877551,0.487755102040815,11.7622448979592,10.2744897959184,15.0367346938776,9.71326530612251,5.97551020408163,-2.76224489795919
"Southend-on-Sea",-61.815306122449,0.412244897959183,12.0877551020408,8.67551020408163,14.2632653061224,7.48673469387757,6.07448979591836,0.662244897959174
"Staffordshire",-62.2775510204082,0.502040816326531,13.2479591836735,10.4959183673469,11.9938775510204,9.50612244897959,7.25408163265306,-1.49795918367347
"Stockton-on-Tees",-59.8071428571429,0.485714285714286,15.5142857142857,12.5285714285714,15.7928571428571,12.4571428571429,8.97142857142857,2.98571428571428
"Stoke-on-Trent",-62.5551020408163,0.504081632653061,10.9959183673469,10.9918367346939,12.9877551020408,9.26224489795919,5.25816326530612,-4.49591836734694
"Suffolk",-64.2163265306122,0.553061224489796,11.6969387755102,9.89387755102041,12.8408163265306,9.4091836734694,6.85612244897959,-0.696938775510206
"Surrey",-67.088775510204,0.451020408163264,11.5489795918367,10.3479591836735,13.8969387755102,9.10306122448983,7.15204081632653,1.20102040816326
"Swindon",-66.6081632653061,0.526530612244898,15.4734693877551,11.6969387755102,14.9204081632653,14.0795918367347,9.55306122448979,-0.72346938775511
"Thurrock",-74.2081632653061,0.626530612244897,17.8734693877551,16.4969387755102,25.3704081632653,16.8795918367347,13.0030612244898,-0.123469387755107
"Torbay",-68.7653061224489,0.612244897959183,13.1377551020408,11.5255102040816,12.9132653061225,11.0867346938776,5.72448979591837,-1.88775510204082
"Tyne and Wear",-63.7306122448979,0.424489795918366,9.07551020408164,8.90102040816327,11.4765306122449,8.77346938775514,5.59897959183673,-2.82551020408163
"Warrington",-67.9214285714285,0.457142857142856,14.2928571428571,14.5857142857143,17.6285714285714,11.6214285714286,11.4142857142857,2.20714285714285
"Warwickshire",-64.8683673469387,0.43469387755102,11.315306122449,10.130612244898,9.19591836734694,9.30408163265309,5.36938775510204,-1.56530612244898
"West Berkshire",-67.6612244897959,0.548979591836734,10.9510204081633,8.40204081632653,11.8530612244898,8.89693877551024,5.59795918367346,-0.701020408163267
"West Midlands",-63.3234693877551,0.338775510204081,11.6612244897959,9.57244897959184,11.7336734693878,8.76632653061228,8.67755102040816,-0.661224489795922
"West Sussex",-64.3836734693877,0.546938775510204,14.2030612244898,12.1561224489796,13.1091836734694,12.8908163265306,8.84387755102041,1.2969387755102
"West Yorkshire",-63.1224489795918,0.397959183673469,8.85204081632653,7.95408163265306,9.05612244897959,6.19387755102044,6.29591836734693,-2.35204081632653
"Wiltshire",-62.8479591836735,0.618367346938776,12.1316326530612,10.5132653061225,11.6448979591837,9.60510204081633,5.23673469387755,-1.88163265306123
"Windsor and Maidenhead",-63.5489795918367,0.559183673469387,2.19081632653062,2.38163265306123,4.82244897959184,2.6775510204082,-0.881632653061225,-4.69081632653061
"Wokingham",-62.2938775510204,0.355102040816326,8.64489795918368,5.28979591836735,7.43469387755102,6.565306122449,4.71020408163265,0.355102040816325
"Worcestershire",-61.5765306122449,0.561224489795919,12.9387755102041,10.8775510204082,12.5663265306122,10.4336734693878,7.12244897959183,-1.68877551020409
"York",-75.1020408163265,0.581632653061224,12.9183673469388,13.0867346938776,16.0051020408163,12.4948979591837,7.66326530612245,0.331632653061223
