"","(Intercept)","days_since_lockdown","bank_holiday1","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Cornwall",-53.6832862364469,0.3477900297939,-5.92856374973124,10.973637261828,12.0444123174181,10.514804105806,13.7100367560484,10.100340684543,6.68112336312724
"County Durham",-43.1871358949944,0.267561507509906,-8.70248333691679,11.0161857153096,13.2119483218709,13.3080231779974,14.5526845225297,11.5688702378393,8.5175615075099
"Cumbria",-50.7948188305638,0.358509690696317,-7.88851859815094,9.87291007566218,13.0907948390748,11.277739693833,14.6588624054223,11.1151058144178,6.19184302402965
"Darlington",-50.3584098657739,0.309841201584913,-7.64733390668674,12.1313811161962,14.9647618023774,14.2912842371561,16.0128569380881,13.3109047209509,7.89317453491825
"Derby",-46.5037293567179,0.297278619037381,-5.452859600086,11.8615313143103,15.1580391406773,13.4971241580035,17.2251691904455,14.8367005047558,8.79727861903738
"Derbyshire",-44.7001950425408,0.287956507049175,-6.33116534078693,11.683904383082,15.8182983969374,14.9848873444337,16.8638695211475,13.2977739042295,8.28795650704918
"Devon",-51.1262426923038,0.350431550818564,-7.60637497312406,11.6672976113688,12.6544352050157,11.7585491087426,14.8012946524557,11.4685922638245,6.43376488415191
"Dorset",-48.6563539842942,0.36119728476211,-5.11594280799828,10.908126516571,12.1175535029007,11.119992581775,14.8335918542863,10.5750517041906,5.94453061809545
"East Riding of Yorkshire",-44.489541419664,0.319025094449734,-7.37018920662223,10.9093397733206,14.0012649144019,12.591330729043,16.7070752833492,11.6164150566698,6.48569176111639
"East Sussex",-44.1538199670321,0.312943453020856,-7.07127499462481,9.61560237941662,10.5451727552889,10.7776838477225,13.3554970257293,10.0544327384792,5.64627678635419
"Essex",-49.2078329289144,0.320269066560187,-8.20973984089443,12.2980209069222,13.5788884483251,13.2586193817649,15.9608071996806,13.7588281066028,6.90360239989353
"Gloucestershire",-49.0690558098105,0.302868814694229,-7.05590195656848,9.62311484473387,11.4997577674959,10.6514344073471,13.8252731107494,10.0317212888165,6.4695354813609
"Greater London",-48.2586770894125,0.271293423841263,-3.47113523973339,9.55722911611431,9.3160310448528,9.04473762101154,11.3138802715238,11.4544427209714,6.77129342384127
"Greater Manchester",-46.6387028903155,0.250330190128083,-6.8972264029241,10.7325408770259,12.4436771033739,11.6478923677913,14.3343239037176,12.8168647807435,7.91699685679475
"Hampshire",-46.1901587984151,0.281690573455785,-5.83379918297141,11.0239426237061,12.5588994965473,12.0044816503643,15.3450717203674,11.8690143440735,6.94835724012246
"Hartlepool",-45.133903615198,0.310455508799951,-8.89217372608042,11.5049067788801,12.8975014450181,13.7688641180363,14.5146998597332,11.43627330528,8.22712217546662
"Herefordshire",-49.7932446683253,0.29823079522069,-8.14486132014621,10.3925794248037,11.6821946776795,10.9294184279134,14.2280257189954,11.2039384771324,6.21489746188735
"Isle of Wight",-48.9554217730954,0.386476026660933,-7.50360137604816,10.1974575360138,8.40547161574897,8.56445013454258,12.4927614133161,9.44021894932989,6.80314269332761
"Kent",-48.7699829017825,0.293654206468655,-7.6333046656633,12.0618965711419,13.2056328248545,13.093796800204,15.380962619406,12.7761925238812,7.29365420646866
"Kingston upon Hull",-42.7491169333784,0.271063058635624,-6.47307030746076,8.14111532594118,11.7247764061352,9.36280425659054,13.5631891759069,10.3709711685147,4.77106305863563
