"","(Intercept)","days_since_start","lockdown11","lockdown21","lockdown31","days_since_start:lockdown11","days_since_start:lockdown21","days_since_start:lockdown31"
"Nottinghamshire",-29.4171338379372,-0.0124790759191294,-37.6569184688509,-35.3398057194947,-48.0654992505652,0.328670671570025,0.155258026579853,0.138395751882408
"Oxfordshire",-38.1293780727196,0.00548241101866665,-35.1851763120671,-39.0018675289692,-42.9493382030695,0.292429328856048,0.165875787433127,0.104999489376829
"Peterborough",-30.7182553871951,0.0152532789969869,-29.8813416070537,-28.9145540584216,-37.5972085377506,0.281910599124869,0.1323735878417,0.0959598749297221
"Plymouth",-35.3650184691528,0.00590952106726197,-33.5814153497464,-52.3511047617492,-53.967350655538,0.29814059344421,0.218502082654689,0.148619608517917
"Portsmouth",-31.9652200827135,-0.026843478140285,-36.2329663914058,-54.2111815124065,-48.5542527813747,0.3168490287982,0.223418659937139,0.137735629040497
"Reading",-42.642217962457,0.00922900177926768,-31.8695153820708,-31.1072933363146,-44.8342584895238,0.264429317133238,0.121273774043702,0.106047071619586
"Redcar and Cleveland",-23.466340816275,-0.0218054758163069,-39.4021785573868,-11.8363802721598,-53.0298802007863,0.344923732816432,0.0456149996258281,0.152241384971011
"Rutland",-35.9705320327213,0.00158655914844688,-32.0836763487788,-27.0246563448085,-49.4870035488926,0.277529602545146,0.135207652562943,0.127278400173861
"Shropshire",-31.068314955965,0.0126093519163428,-35.0273989099516,-33.9266807434639,-46.5556292787557,0.304891390503588,0.140881929653756,0.117483242342309
"Slough",-34.5330210218169,-0.0103006125728573,-33.796436179812,-7.80633311063998,-45.5120921389474,0.305827279830351,0.0442751219168215,0.122554507253636
"Somerset",-27.8941801807378,-0.00624336398004094,-35.6918573491728,-31.4818851879382,-46.768098724829,0.309869016415567,0.134400373910449,0.123680809774793
"South Gloucestershire",-36.8014970901521,0.000928357523894553,-32.8768539446491,-33.2004186186608,-44.4514914408271,0.28652264664765,0.134031373494953,0.120121451925542
"South Yorkshire",-30.0969376702154,-0.0113629194678806,-36.028707768683,-34.2363956631178,-41.8640525449502,0.317902278607886,0.147417341236588,0.118765781864823
"Southampton",-36.0189803282492,-0.0139255769940576,-31.2422597540311,-48.2848745470347,-34.0706896360158,0.275204529427873,0.19986662007796,0.0867716718770821
"Southend-on-Sea",-31.9825651513828,-0.0187671825505875,-39.3056679202766,-27.4263018436903,-63.4014847408364,0.341322599728397,0.121863593528768,0.176128480093763
"Staffordshire",-27.3469387755102,-0.0189364207221352,-41.5358956982734,-30.8140589569159,-44.7755512291321,0.363098978813579,0.133448892377463,0.12770822427692
"Stockton-on-Tees",-25.3995392428864,-0.0174531012878011,-39.4883747825532,-31.2163415922054,-44.5356346997288,0.342469776583641,0.133451224675084,0.126216987727582
"Stoke-on-Trent",-28.3259712394853,-0.00236642363485268,-35.6136618573619,-27.8617291280186,-32.4351427705693,0.320185901313277,0.120084775343355,0.0902989410255153
"Suffolk",-27.9960739928553,-0.0125567866461346,-37.8867604809283,-26.5626092505568,-54.8941487299844,0.328328584639501,0.113620200517429,0.14450702397965
"Surrey",-37.6724713065468,-0.0103974019450472,-37.7235238238004,-31.1027652248471,-60.8198098661937,0.319009317668335,0.129601405385503,0.16397359877892
"Swindon",-32.5077066724555,0.00498627280278739,-37.1747583793894,-33.5060551541132,-38.4716167021068,0.318097778462279,0.13923923349168,0.0931622018930334
"Thurrock",-25.8392839180467,-0.0450304980816122,-40.71476503036,-24.7428960803885,-58.1481876073293,0.388903862231202,0.12294902181294,0.178187735584266
"Torbay",-28.3522268957492,0.00677005540406434,-38.6259436260593,-32.600310441024,-49.5270435780901,0.323486316580194,0.117047287625099,0.114987256231576
"Tyne and Wear",-34.0519809093481,-0.0086685083145379,-35.4205013542008,-25.515107995179,-41.0527639616208,0.289573778640907,0.105900504561312,0.112916760251532
"Warrington",-31.1398189143555,-0.0146994059697092,-36.4409711448359,-71.3452463761279,-47.0421437384538,0.307441415432259,0.304088724915676,0.12695545986367
"Warwickshire",-32.6716467566229,-0.0094322245129223,-37.8945763238523,-29.5711791093555,-48.8482032500346,0.329388005826329,0.124804810328857,0.136366609622988
"West Berkshire",-36.6384741037174,-0.0114075859396228,-37.9427777328973,-40.6009504017168,-52.6882436403367,0.33904721919195,0.170997858830387,0.143691781578732
"West Midlands",-32.4711507003147,-0.00690777369139923,-38.1205540979725,-25.2972049177944,-47.0395514398253,0.35016232499767,0.110121472964211,0.128555685192448
"West Sussex",-32.6247026756976,-0.00462376700113489,-37.1428553613285,-32.8003110079365,-55.5640701354899,0.32468993955041,0.135908464788295,0.146430092776022
"West Yorkshire",-33.3143900541152,-0.0102681887312986,-35.4362921170783,-35.780339791846,-46.9250782036516,0.315593244276748,0.149528490553176,0.1322176703402
"Wiltshire",-32.1165538407917,0.000288244922321612,-37.6636401057261,-30.2955190343361,-52.3173285324714,0.322111691641587,0.129158936249,0.135338412723632
"Windsor and Maidenhead",-39.8771699448883,-0.0102394168230281,-36.2210207272077,-26.8384841328346,-52.8349061745738,0.31339085338616,0.108096950641153,0.138932121201553
"Wokingham",-42.5943581345584,-0.00479005250879787,-36.3052262657606,-26.351415577225,-55.4693055463963,0.323685456035408,0.111092343540152,0.147106672332534
"Worcestershire",-32.1953166448555,0.00785022881302881,-37.6447824273917,-34.9724056164626,-44.7592074465655,0.340462106863397,0.148495067926356,0.110633715637613
"York",-50.0226174798791,0.0473145074812273,-24.8077003069477,-40.5610481702885,-45.3080624203652,0.175664905330687,0.147344965503367,0.0873304279043181
