"","(Intercept)","days_since_lockdown","bank_holiday1","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Devon",-80.4967291093698,0.346479165585595,-14.1715401380312,18.0649568436165,14.5737083354955,11.4940729161262,13.1061041634234,9.63772767370656,1.41314583225226
"Dorset",-79.1067510767474,0.326542473146178,-7.78105702869594,14.0588613287669,10.1469150537076,9.52577123657314,12.2462940861052,8.57182208153871,2.79320913981285
"East Riding of Yorkshire",-78.7377977271547,0.383732032587826,-13.9970940791863,15.2160742393579,12.099202601491,11.716866016294,10.2845294310968,9.1006036704547,0.917065365921166
"East Sussex",-75.7901804092504,0.352015982564475,-12.2005993461678,14.2613573071801,11.495968034871,11.2468413246156,11.0560479476934,10.1174052548734,1.01868264923114
"Essex",-73.8423243907079,0.354257692906439,-11.0703777697058,12.517100825074,11.9581512808538,11.0562955131199,9.86277307871931,9.31320723712656,1.82092435957312
"Gloucestershire",-78.4855136388009,0.33620465985159,-9.1433890301489,13.4066879421583,11.7942573469635,9.5222689965925,9.94194731288809,8.01530192171307,0.669537993184921
"Greater London",-77.8166554235206,0.220440039437496,-8.05221576462039,7.5830410115372,4.49245325445833,2.93105335305214,2.66132011831248,2.57769446318301,-0.112893293895835
"Greater Manchester",-73.3294985556881,0.271625758912355,-9.32882310207045,12.683629114559,10.8567484821753,7.88164621278955,8.88154394340372,8.09850639129604,0.738292425579021
"Hampshire",-76.2386591251102,0.317710549530382,-7.59271703596076,13.655137252867,10.2312455676059,8.99635527476523,10.2864649819245,8.40826890145811,3.78437721619704
"Hartlepool",-70.9769567398335,0.292646982512583,-14.1528332727933,5.78420856900697,4.4813727016415,3.550490157923,4.54460761420441,3.26214951654471,-1.77401968415408
"Herefordshire",-79.6497327590679,0.385844014322038,-11.9334362513621,15.6763850691021,13.4949786380226,11.8304220071611,12.6908653762994,8.96725044540151,0.985844014322047
"Isle of Wight",-76.6551052531437,0.418649784650511,-9.77079549582273,13.166069915071,10.0960337640323,6.92599155899197,8.45594935395152,6.42201926902251,0.88531645131718
"Kent",-75.4037240758998,0.329630014010689,-11.3968398111151,13.696825973397,12.6740733053119,10.5981483403387,11.5222233753654,8.21904934876235,1.79629668067736
"Kingston upon Hull",-71.0622351374258,0.256520159825645,-8.61950599346167,11.1181135730718,9.35362634701537,8.34492674657953,7.70289381281026,6.35434071921538,-1.21014650684102
"Lancashire",-72.9350751561067,0.333366197913964,-9.42980385034506,14.9619540587757,12.2666009375054,10.2458497656237,9.40009859374188,8.42871931918424,1.40003286458063
"Leicester",-72.2715323543147,0.254179855741788,-6.21031601888847,9.82650787885079,8.15830695518308,6.30208992787094,7.62920623389202,4.65571411274278,-3.7458201442582
"Leicestershire",-73.2046563921608,0.33467905142442,-5.83617871413003,12.3877328628509,9.99730856381781,9.13400619237892,8.27070382093992,6.12510335045748,0.734679051424413
"Lincolnshire",-74.7523705740922,0.390296300140106,-13.0289683981111,14.0783015930673,10.9527407330531,10.9493148167368,9.43755556708698,10.1825238268209,-0.276370366526559
