"","(Intercept)","days_since_start","lockdown11","lockdown21","lockdown31","days_since_start:lockdown11","days_since_start:lockdown21","days_since_start:lockdown31"
"Bath and North East Somerset",NA,NA,NA,NA,NA,NA,NA,NA
"Bedford",NA,NA,NA,NA,NA,NA,NA,NA
"Blackburn with Darwen",NA,NA,NA,NA,NA,NA,NA,NA
"Blackpool",NA,NA,NA,NA,NA,NA,NA,NA
"Borough of Halton",NA,NA,NA,NA,NA,NA,NA,NA
"Kingston upon Hull",5.11473402185827,0.016523647187178,17.658575243076,15.4065342555676,30.0287284204277,-0.1283608527652,-0.0529612107183373,-0.0864828740449109
"Lancashire",7.52609379973827,0.0149978302212767,16.5968229543863,11.6343565873131,31.6811553986538,-0.12127193943397,-0.0413876965126207,-0.090747347097327
"Leicester",11.4256976620804,-0.00514859073211991,12.6662800046842,3.45439460471132,25.5000239649587,-0.11064248685737,-0.00603289335576789,-0.0645097857554879
"Leicestershire",9.67098468503514,0.00982118200566478,16.6241330682078,10.0442002395093,32.8791382101818,-0.121078444893841,-0.0321450540832311,-0.0899877293158248
"Lincolnshire",5.10910033424112,0.0189550619441219,16.8450577615567,6.1101114884189,32.5054613994631,-0.119900850518473,-0.0161401428730449,-0.0934831838964823
"Luton",8.15239915290208,0.0106420972101678,20.2065633381359,10.7610811817605,30.7238059579556,-0.175716017001069,-0.0401596513582638,-0.08476068839554
"Medway",6.21679141760687,0.0266136071312941,19.325705261187,-5.50582887166882,35.6094653344326,-0.136759531837584,0.0288246601296325,-0.106102881239809
"Merseyside",9.0498112156474,0.00675505170739156,15.5525984229068,16.5159875176389,31.2266630771203,-0.110630095047612,-0.0595347842900795,-0.0840707178786386
"Middlesbrough",NA,NA,NA,NA,NA,NA,NA,NA
"Milton Keynes",10.1639019559296,0.012478990896452,17.5784810647376,13.1514471722273,33.8461059971722,-0.132269457409122,-0.0489947466240303,-0.093737380339339
"Norfolk",6.39611886782441,0.0154392892172202,17.0911822530353,9.28384047223337,36.2221128085527,-0.121763152226361,-0.0297093650636503,-0.100751961279521
"North East Lincolnshire",NA,NA,NA,NA,NA,NA,NA,NA
"North Lincolnshire",NA,NA,NA,NA,NA,NA,NA,NA
"North Somerset",NA,NA,NA,NA,NA,NA,NA,NA
