"","(Intercept)","days_since_start","lockdown11","lockdown21","lockdown31","days_since_start:lockdown11","days_since_start:lockdown21","days_since_start:lockdown31"
"Cornwall",17.8267649347435,-0.0697513290744914,-62.2875768234131,-105.959417995968,-159.454179744786,0.410591266446898,0.386077859686736,0.453506128825461
"County Durham",-11.0698690004597,0.017769335687214,-22.1378888602514,-60.3606572330221,-88.5216632851753,0.24885659505861,0.256137928367833,0.25414901726497
"Cumbria",3.36594653025864,-0.016176520851642,-44.782973523248,-108.544263834192,-127.962118245286,0.368539126520154,0.408935923463261,0.354423023825958
"Darlington",-11.1370081986747,0.00753189522811962,-28.0837214096542,-78.6691142503055,-108.303028651897,0.297612802805208,0.318998717016781,0.311556628913684
"Derby",-17.9820953294662,0.0627828066801974,-16.6696825136134,-64.4165675839751,-92.3483276244093,0.224141118210227,0.254599318583702,0.238670703660634
"Derbyshire",-8.91311498602899,0.0125805504844248,-24.1623646327947,-69.4708477944854,-92.2518582577209,0.267211478646422,0.285018949085518,0.26269609870461
"Devon",1.17000870972319,-0.0166944364901013,-42.5245698112722,-103.57488790278,-125.91219433728,0.360933180082355,0.396122069612315,0.356021265793503
"Dorset",-0.706687917801333,-0.0166754551774055,-38.5144195084192,-78.197995794764,-123.336694993466,0.371642361128736,0.303406239445135,0.352217903509233
"East Riding of Yorkshire",1.90142430820216,-0.0232268000686005,-36.1164866481543,-68.3348827490499,-101.904886246672,0.335845451212082,0.259015368369485,0.297015031637017
"East Sussex",-8.26470484207538,0.010683269441625,-27.3104179487394,-54.5355140960744,-115.926230061246,0.29546894296977,0.222524956377438,0.330104627448748
"Essex",-9.58264068192259,-0.0139552396415177,-28.9211165071123,-46.449809079591,-102.151651581976,0.328884332707548,0.197550516832853,0.302722652796164
"Gloucestershire",-14.8962946096983,0.0290003849826823,-25.3218322531538,-62.1775970159174,-85.3243913723298,0.266487412121335,0.245102359563412,0.226923956187395
"Greater London",-16.9925182594701,-0.00334226269830743,-22.7946023483969,-11.7499166455263,-87.0562785189837,0.265905485002933,0.0557701303971107,0.258261130262966
"Greater Manchester",-18.0945966558199,0.0217577919882786,-18.6120907208645,-39.003065397507,-73.724351159596,0.222645294612868,0.16101646714066,0.211348704004581
"Hampshire",-13.5573570632759,0.0154285338485476,-22.6050206706564,-77.2754289246825,-100.479026398591,0.259282388820059,0.318217568270461,0.28489354878454
"Hartlepool",-3.19834414013644,-0.0268541516976896,-31.7461166297725,-47.2028600196888,-101.231968333998,0.331844923923255,0.192152454927029,0.306036097796532
"Herefordshire",-8.94598564800846,0.00235182140505487,-31.6111278232984,-76.7917968213016,-103.900515167095,0.287740798396646,0.290829819067228,0.282789553078084
"Isle of Wight",5.00997236158361,-0.0011568298520527,-46.0486777056079,-70.6345325304793,-134.802205671766,0.38250568636988,0.259425654623343,0.366466910858535
"Kent",-11.5460067909311,0.0172802214806727,-26.6827829324222,-42.3041769607302,-104.058611046329,0.269222350946083,0.16842624501397,0.293702616373213
"Kingston upon Hull",-12.0473928306157,0.0134132200740579,-22.4454076395576,-68.9061219086133,-87.1961469834759,0.252335800009372,0.267765918247938,0.244107499375774
"Lancashire",-11.6261837707353,0.0113763105395467,-22.8528893160369,-57.91103571476,-91.3192270015792,0.282682619722733,0.236062895027738,0.263904657075854
"Leicester",-22.5422322091747,0.0320576091555136,-15.0389776476742,3.60572427266683,-77.6463729031222,0.25265071698684,-0.0195859538267154,0.219531751681397
"Leicestershire",-17.8147293796201,0.0429292888499218,-17.2765766108925,-58.557230898744,-79.1798653900458,0.242845634303784,0.240634711462847,0.217029182283197
"Lincolnshire",4.50052280444251,-0.0295127528914518,-39.5441397810597,-76.499897266871,-124.139182796741,0.344006500238562,0.296148142679551,0.365515833368925
"Luton",0.788648112380975,-0.0504111400496968,-29.7679101080991,-11.5162265000582,-82.6384633197196,0.347055712921129,0.0476744131750402,0.23550537171168
