"","(Intercept)","days_since_lockdown","bank_holiday1","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Merseyside",13.5162904537042,-0.0839551657931606,8.61260443152924,5.44311487035788,6.16791033158632,6.51635575043674,6.88146783595385,6.99124937297837,1.9827115008735
"Middlesbrough",11.9659626727552,-0.0798609309324891,8.67335633853977,4.23497050836318,4.29305519519831,4.78923620120041,5.0270838738692,5.46205438223236,1.85347240240084
"Milton Keynes",13.7438465397056,-0.086990815214571,8.15501271340356,8.60998996765434,9.44064829709581,9.88567125905937,10.2723608876896,9.81568418867726,2.24634251811876
"Norfolk",13.7138653935966,-0.0927144413886149,10.2982201235016,5.60616643315518,5.85209554944389,5.77864277930568,6.52185667583416,6.59468977565597,2.64061889194471
"North East Lincolnshire",10.2782903499213,-0.068143843080276,9.80539411551036,3.34778423537959,3.80295435282722,4.36176141179318,4.59556847075917,5.41001937280541,2.33185615691972
"North Lincolnshire",10.9037569404805,-0.0698822064241606,10.0134398837632,3.73565288083995,4.73976441284832,4.51505889678791,5.05702004739418,5.65933959490078,2.26345112690917
"North Somerset",13.981414214796,-0.0889575009081002,8.08590628405376,6.94989708197119,7.71124833514953,8.56385458287926,8.5331274972757,8.48302457924685,2.91104249909189
"North Yorkshire",14.0189248092989,-0.0946966945150743,9.05112604431529,5.22462162489406,5.98939338903014,6.39015165274245,6.78257658312144,7.20719820801548,3.10530330548492
"Northamptonshire",13.2195890197706,-0.0871620569768044,10.4471485652016,6.5240188192967,6.70765744728694,7.10641897151159,7.53851382906959,7.3958659816996,2.24617127635653
"Northumberland",12.6368083303063,-0.0824555030875408,9.09208136578278,4.54298341203536,5.63157767284175,5.56710558178955,6.68596682407071,6.42895023610605,2.58421116357912
"Nottingham",13.0746008683168,-0.0756214000311348,6.9786596440247,6.01037742376282,6.0845761333956,6.33302263331775,6.70646913323993,7.11684655700273,1.79104526663553
