"","x","p","lb_2.5","lb_25","ub_97.5","ub_75","d_comb","region"
"658",18386.0229007634,0.00472228585851461,0.00110666667044851,0.00277515851227402,0.0227215768052719,0.00770043566757648,2020-05-04,"EAST MIDLANDS"
"659",18387.0229007634,0.0043175322109752,0.00113453388261925,0.00264946182351222,0.0179890491008815,0.0068099989138063,2020-05-05,"EAST MIDLANDS"
"660",18388.0229007634,0.00395694268735305,0.00115384310196364,0.00252778901010356,0.0144328219501109,0.00605023486114742,2020-05-06,"EAST MIDLANDS"
"661",18389.0229007634,0.00363209343653968,0.00116202163973421,0.00241185387998407,0.0116787110058555,0.00537836732118833,2020-05-07,"EAST MIDLANDS"
"662",18390.0229007634,0.0033408937400315,0.00117118460543301,0.00229688878098712,0.00957406370157454,0.00479329356768829,2020-05-08,"EAST MIDLANDS"
"663",18391.0229007634,0.00307668380313155,0.00117164821196489,0.00218926828944094,0.00795643978861037,0.00428394863321048,2020-05-09,"EAST MIDLANDS"
"664",18392.0229007634,0.00284492246618585,0.00117400368872958,0.00208541752480608,0.00669072829961477,0.00384834684099785,2020-05-10,"EAST MIDLANDS"
"665",18393.0229007634,0.00263546804776486,0.00116789780458191,0.00198599072634176,0.00569762104688893,0.00346579346312029,2020-05-11,"EAST MIDLANDS"
"666",18394.0229007634,0.00244978054588955,0.00115483342147552,0.00189357405983472,0.00490253492036885,0.00313924937959123,2020-05-12,"EAST MIDLANDS"
"667",18395.0229007634,0.0022798023147657,0.00113343492484786,0.00179995088820471,0.00427925165782673,0.00286115951963808,2020-05-13,"EAST MIDLANDS"
"668",18396.0229007634,0.00212655170458136,0.00110897646827248,0.00171110130168304,0.00377591362597208,0.00262204824566821,2020-05-14,"EAST MIDLANDS"
"669",18397.0229007634,0.00198687112034744,0.00107398946202991,0.00162044207792996,0.00338964554708651,0.00241777447877902,2020-05-15,"EAST MIDLANDS"
"670",18398.0229007634,0.00186018312947391,0.00103765267294165,0.00153313458812032,0.00308747675122408,0.00224560893513332,2020-05-16,"EAST MIDLANDS"
"671",18399.0229007634,0.00174878312181444,0.000992454269370364,0.0014501654987054,0.00285710367048176,0.00209660428309245,2020-05-17,"EAST MIDLANDS"
"672",18400.0229007634,0.00164885868347855,0.000943735045728913,0.00137186677125574,0.00267032121720115,0.00196801084013297,2020-05-18,"EAST MIDLANDS"
"673",18401.0229007634,0.00155794899626162,0.000896330967095903,0.00129763370259777,0.00252336994830986,0.00185713412926838,2020-05-19,"EAST MIDLANDS"
"674",18402.0229007634,0.00147687479895384,0.000844120927817562,0.00122689710993159,0.00240730764775915,0.00176288188575734,2020-05-20,"EAST MIDLANDS"
"675",18403.0229007634,0.00140413702442932,0.000791103909258658,0.00116388167636293,0.00230962356168951,0.00167762025421881,2020-05-21,"EAST MIDLANDS"
"676",18404.0229007634,0.0013376560885693,0.000741950435534945,0.00110350002085911,0.00223016895979073,0.00160425142455014,2020-05-22,"EAST MIDLANDS"
"677",18405.0229007634,0.00127684081964866,0.000692191482573538,0.00104692256156673,0.00216239014889475,0.00154044132469379,2020-05-23,"EAST MIDLANDS"
"678",18406.0229007634,0.00122055785627279,0.000645023440830145,0.000994843024669817,0.00210801293133952,0.00148314845538264,2020-05-24,"EAST MIDLANDS"
"679",18407.0229007634,0.0011694960823703,0.000601939287411569,0.000945531148423966,0.00206213030735933,0.00143274176162848,2020-05-25,"EAST MIDLANDS"
"680",18408.0229007634,0.00112368393993346,0.000560123469779269,0.000900154304516758,0.00202690409041615,0.00138791931907333,2020-05-26,"EAST MIDLANDS"
"681",18409.0229007634,0.00108183906457148,0.000523299323725764,0.000857292895396325,0.00199770362483548,0.00134707239203117,2020-05-27,"EAST MIDLANDS"
"682",18410.0229007634,0.0010433503733792,0.000488684376162154,0.000818285446331807,0.00197653200529084,0.0013101685577185,2020-05-28,"EAST MIDLANDS"
